,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
0,Opérateur de maintenance sur installation industrielle , Industrie automobile ,30,14/03/2024,non spécifié, SKHIRATE TEMARA ,CDD,non spécifié,"Diplôme de qualification professionnelle ,Réparateur des appareils électroniques ",non spécifié,non spécifié,non spécifié
1,Electricien du bâtiment et des travaux publics, Services fournis principalement aux entreprises ,10,14/03/2024,non spécifié, MDIQ,CDD,non spécifié,"Technicien spécialisé ,Tech en réseau eau-électricité ",non spécifié,Francais : Bon,non spécifié
2,Commercial/Commerciale, Santé et action sociale ,1,14/03/2024,01/04/2024, GUERCIF,CI,*Compétences techniques en commerce *Capacités d’expression orale et écrite *Excellente présentation *Sens de la négociation *Facultés d’adaptation *Autonomie,"Bac + 2 ,Economie et commerciale ",non spécifié,"Arabe : Langue maternelle, Francais : Bon, Anglais : Moyen","Technico-commercial/-travaille sur une zone qui varie en fonction de la taille de l’entreprise et l’étendue de ses ventes -e déplace une bonne partie de la semaine -doit se montrer convaincant/avoir une connaissance en rapport qualité/prix, service après-vente/respect des engagements"
3,Biologiste médical, Santé et action sociale ,1,14/03/2024,non spécifié, SKHIRATE TEMARA ,CDI,non spécifié,"Diplôme du 2ème cycle universitaire ,Chimie ",non spécifié,non spécifié,non spécifié
4,Employé polyvalent de restauration , Hôtellerie et restauration ,1,14/03/2024,non spécifié, OUARZAZATE ,CDI,non spécifié,"Technicien ,Service de restauration ",(moins de 6 mois),"Arabe : Langue maternelle, Francais : Bon, Anglais : Bon",non spécifié
5,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,10,14/03/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,Baccalauréat,(moins de 6 mois),"Francais : Moyen, Arabe : Langue maternelle",non spécifié
6,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,100,14/03/2024,25/03/2024, RABAT CENTRE,CDD,-Une bonne condition physique - Assurer une présence dans les locaux et veiller à la sécurité des personnes et à la préservation des biens. - Aspect physique,non spécifié,(moins de 6 mois),"Arabe : Langue maternelle, Francais : Notions",non spécifié
7,Opérateur de saisie, Intermédiation financière ,1,14/03/2024,non spécifié, OUJDA ANGAD,CI,non spécifié,"Bac + 2 ,Economie et commerciale ",non spécifié,"Arabe : Bon, Francais : Courant",non spécifié
8,Serveur, Hôtellerie et restauration ,1,14/03/2024,non spécifié, OUARZAZATE ,CI,non spécifié,"Diplôme de qualification professionnelle ,Agent de restauration ",(6 mois - 1 an),"Francais : Bon, Anglais : Bon",non spécifié
9,Opérateur de saisie, Conseil en systèmes informatiques ,8,13/03/2024,non spécifié, RABAT AGDAL,CI,non spécifié,Bac + 2,non spécifié,"Arabe : Langue maternelle, Francais : Moyen",non spécifié
