,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
0,SecrÃ©taire bureautique polyvalent,non spécifié,1,15/03/2024,non spécifié, OUARZAZATE ,CDI,non spécifié,"Technicien spÃ©cialisÃ© ,Gestion des entreprises ",non spécifié,"Arabe : Langue maternelle, Francais : Bon, Anglais : Moyen",non spécifié
1,Comptable,non spécifié,3,15/03/2024,non spécifié, LAAYOUNE ,CDD,non spécifié,Technicien spÃ©cialisÃ©,non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
2,TÃ©lÃ©conseiller,non spécifié,4,15/03/2024,non spécifié, AGADIR,CDI,non spécifié,BaccalaurÃ©at,non spécifié,non spécifié,non spécifié
3,SecrÃ©taire de direction,non spécifié,1,15/03/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,Bac + 2,non spécifié,Francais : Courant,non spécifié
,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
4,Consultant Fonctionnel,non spécifié,5,15/03/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
5,Vendeur/Vendeuse,non spécifié,6,15/03/2024,non spécifié, OUARZAZATE ,CI,non spécifié,BaccalaurÃ©at,non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
6,Agent d'encadrement de maintenance,non spécifié,1,15/03/2024,non spécifié, MEKNES-EL MENZEH,CDI,non spécifié,IngÃ©nieur,non spécifié,non spécifié,non spécifié
7,Agent d'accueil,non spécifié,1,15/03/2024,non spécifié, OUARZAZATE ,CI,non spécifié,"Technicien spÃ©cialisÃ© ,ComptabilitÃ© et Gestion ",non spécifié,"Arabe : Langue maternelle, Francais : Courant",non spécifié
,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
8,Commercial/Commerciale,non spécifié,2,15/03/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CDI,non spécifié,BaccalaurÃ©at,non spécifié,"Tachelhit : Moyen, Francais : Moyen, Arabe : Bon",non spécifié
9,EmployÃ© polyvalent de restauration ,non spécifié,3,15/03/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,"DiplÃ´me de qualification professionnelle ,Agent de restauration ",non spécifié,non spécifié,non spécifié
,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
10,TÃ©lÃ©conseiller,non spécifié,15,15/03/2024,non spécifié, KENITRA UNIVERSITAIRE,CDD,non spécifié,Bac + 2,non spécifié,non spécifié,non spécifié
11,Ajusteur monteur,non spécifié,80,15/03/2024,non spécifié, CASA-NOUACER,CI,non spécifié,"Technicien spÃ©cialisÃ© ,MÃ©thodes en fabrication MÃ©canique ",non spécifié,"Francais : Moyen, Anglais : Moyen",non spécifié
,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
12,Enseignant des Ã©coles,non spécifié,5,14/03/2024,non spécifié, MEDIOUNA,CDI,non spécifié,non spécifié,non spécifié,"Francais : Bon, Arabe : Bon",non spécifié
13,EmployÃ© de gestion administrative,non spécifié,3,14/03/2024,non spécifié, MARRAKACH - MENARA,CI,non spécifié,"Technicien spÃ©cialisÃ© ,SecrÃ©tariat de direction ",non spécifié,"Francais : Courant, Arabe : Langue maternelle",non spécifié
,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
14,OpÃ©rateur sur machines automatiques en production Ã©lectrique ou Ã©lectronique.,non spécifié,100,14/03/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien ,Maintenance des machines outils et Autres machines de production automatisÃ©e ",non spécifié,Arabe : ,non spécifié
