,postes,entreprises,date de publication,localités,pays concernés,categoriess,regions,contrats,experiences,diplomes,langues,salaires,fonction,Missions
0,Project Control Director, Confidentiel ,27/02/2024," AL KHOBAR, SAUDI ARABIA ", SAUDI ARABIA ,non spécifié, AL KHOBAR , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Provide strategic leadership and direction for the project controls function on large-scale hospitality projects. Develop and implement project controls strategies, policies, and procedures to ensure effective project management. Develop project budgets, cost estimates, and financial forecasts for hospitality projects. Monitor project expenditures, track costs against budget, and identify cost-saving opportunities. Develop comprehensive project schedules, timelines, and milestones for hospitality projects. Monitor project progress, schedule performance, and critical path activities to ensure adherence to timelines. Identify, assess, and prioritize project risks and uncertainties related to cost, schedule, and quality. Develop risk management plans and implement mitigation strategies to minimize project disruptions. Manage project change control processes, including scope changes, budget adjustments, and schedule revisions. Evaluate change requests, assess their impact on project objectives, and recommend appropriate actions. Conduct regular performance analysis and reporting on project cost, schedule, and risk metrics. Provide insights and recommendations to project stakeholders based on performance data. Collaborate with internal and external stakeholders, including clients, contractors, and consultants, to address project controls requirements. Communicate project controls information effectively to stakeholders, including progress updates, forecasts, and variances. Establish and enforce quality assurance processes and procedures for project controls activities. Ensure the accuracy and integrity of project controls data and documentation. "
1,Showroom Manager ( Ghana ) , Confidentiel ,29/02/2024," GHANA, GHANA ", GHANA ,non spécifié, GHANA , CDI ,Experience :, Bac + 4 , Anglais , Negociable ,non spécifié," Oversee the day-to-day activities of the store, including sales, operations, inventory management and customer relations. Set sales and profitability targets for the store and communicate them clearly to the team. Lead and motivate the sales team to achieve sales and customer service objectives. Maintain positive customer relations and resolve product or service issues. Coordinate with support teams (such as logistics, finance and human resources) to ensure smooth store operations. Monitor key performance indicators, such as sales, profit margin and stock levels, and take action to improve them where necessary. Ensure compliance with company quality, safety and environmental standards. Develop action plans to improve store performance and work with other store managers to exchange best practices. After-sales service management "
2,Commercial Director, Confidentiel ,27/02/2024," AL KHOBAR, SAUDI ARABIA ", SAUDI ARABIA ,non spécifié, AL KHOBAR , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Develop and implement commercial strategies, policies, and procedures to optimize project financial performance and mitigate risks. Establish contract management frameworks and procurement strategies to support project objectives. Oversee project finances, including budgeting, forecasting, cost control, and financial reporting. Monitor project expenditures, cash-flow, and profitability to ensure alignment with project budgets and financial targets. Manage all aspects of project contracts, including drafting, negotiation, administration, and compliance. Ensure that contracts are executed in accordance with legal, regulatory, and commercial requirements. Develop and implement procurement strategies to support project objectives and timelines. Identify and select vendors, subcontractors, and suppliers based on cost, quality, and performance criteria. Identify, assess, and mitigate project risks related to commercial and financial matters. Develop risk management plans and implement mitigation strategies to minimize project disruptions and liabilities. Collaborate with internal and external stakeholders, including clients, contractors, and vendors, to address commercial and financial requirements. Communicate commercial information effectively to stakeholders, including contract terms, financial status, and risk assessments. Manage and resolve commercial disputes, claims, and variations in collaboration with legal counsel and project teams. Ensure that disputes are resolved promptly and amicably to minimize project delays and costs. Establish and enforce quality assurance processes and procedures for commercial activities. Ensure the accuracy and integrity of commercial data, documentation, and reporting. "
3,Technical Director, Confidentiel ,27/02/2024," AL KHOBAR, SAUDI ARABIA ", SAUDI ARABIA ,non spécifié, AL KHOBAR , Mi-temps ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Provide strategic technical direction and guidance for large-scale hospitality projects. Develop and implement technical strategies, standards, and best practices to ensure project success. Oversee the planning, design, and construction phases of hospitality projects, ensuring adherence to technical requirements and specifications. Monitor project progress, milestones, and deliverables to ensure alignment with project goals and objectives. Serve as the primary technical point of contact for clients, addressing technical inquiries, concerns, and requirements. Maintain strong client relationships and ensure client satisfaction throughout the project lifecycle. Lead and mentor project teams, including architects, engineers, and consultants, providing technical guidance and support. Foster a collaborative and high-performance team culture focused on achieving project excellence. Establish and enforce quality assurance processes and procedures to ensure the highest standards of technical quality in project deliverables. Conduct technical reviews and inspections to verify compliance with technical requirements and specifications. Identify potential technical risks and challenges associated with project execution and develop mitigation strategies. Proactively address technical issues to minimize their impact on project outcomes. Manage technical budgets, resources, and schedules to ensure timely and cost-effective project delivery. Monitor technical expenditures and control costs throughout the project lifecycle. Collaborate with internal and external stakeholders, including government agencies, contractors, and vendors, to address technical requirements and ensure project success. Communicate technical information effectively to stakeholders, including project updates, technical recommendations, and risk assessments. Maintain accurate technical documentation, including design drawings, specifications, and technical reports. Prepare technical reports, presentations, and documentation for project stakeholders as required. "
4,Protection Engineer, Confidentiel ,27/02/2024," AL KHOBAR, SAUDI ARABIA ", SAUDI ARABIA ,non spécifié, AL KHOBAR , Mi-temps ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Proven expertise in retrofitting and modernization projects for 380/110/33/13.8 KV substations, with a focus on ensuring compliance with the latest industry standards and safety protocols. Skilled in testing and commissioning of protection relays on-site, including detailed setting, calibration, and fault analysis. Comprehensive knowledge of diverse protection functions and manufacturers such as Siemens, ABB, GE, SEL, and others, as well as proficiency with auxiliary relays in different applications. Experienced in utilizing advanced testing equipment like Omicron and Freja injection kits. Responsible for thorough control and protection scheme/function checks, and executing updates to maximize system efficiency and reliability. Proficiency in system study and analysis using ETAP software, enabling accurate modeling, simulation, and analysis of power systems. Expert in conducting a variety of substation equipment tests, including circuit breakers, transformers, and switchgear. "
5,Acheteur, Confidentiel ,26/02/2024," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Fournir un ensemble de demandes de prix aux achats de produits pour toutes les nouvelles pièces conformément à la dernière nomenclature de projet valide. Vérifier les capacités libres des pièces C / O chez le fournisseur. Organiser les achats et donner les dates d'échéance aux acheteurs de produits, y compris les prix cibles. Escalader les retards dans la phase de demande de devis. Organiser les réunions de lancement du programme avec les fournisseurs à impact élevé. Diriger l'évaluation d'impact élevé conformément à la directive interne. Faire une évaluation du fournisseur tous les 3 mois. Négocier le prix à la pièce après les modifications de conception et le niveau d'investissement dans l'outillage. Lancement des commandes d'outils pour les modifications de conception et les investissements initiaux dans les outils. Lancer les commandes d'achat d'échantillons conformément aux exigences du projet. Demander le rapport d'avancement des outils du fournisseur et vérifier l'état de préparation de l'outil avec le support du coordinateur d'outils. Gérer les audits d'outils chez le fournisseur. Soutenir PSW conformément aux lignes directrices internes et soutenir l'équipe de projet lorsque le niveau de sécurité augmente en raison de la passivité du fournisseur. Soutenir la gestion de projet avec les entrées EnterProj telles que la feuille de fournisseur, les tâches LRR et EP. Gérez les risques / problèmes / opportunités (RIO) dans EnterProj pour faire remonter les problèmes de programme au sein de l'organisation. Faire des études de capacité en fonction des taux et des volumes de mélange modifiés. Partagez le prix à la pièce et l'impact des investissements avec le responsable de programme pour le partager avec le client. Soutenir VLS MP & L avec des accords de planification mis à jour lors du lancement du projet et pendant la procédure d'utilisation standard (90). Mettre à jour le projet DPO et YOY du projet VQF avant chaque révision du portail. Remise du programme aux acheteurs actuel / passé après SOP + 90 jours. "
6,Project Director, Confidentiel ,16/02/2024," AL KHOBAR, SAUDI ARABIA ", SAUDI ARABIA ,non spécifié, AL KHOBAR , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Develop and implement commercial strategies, policies, and procedures to optimize project financial performance and mitigate risks. Establish contract management frameworks and procurement strategies to support project objectives. Oversee project finances, including budgeting, forecasting, cost control, and financial reporting. Monitor project expenditures, cash-flow, and profitability to ensure alignment with project budgets and financial targets. Manage all aspects of project contracts, including drafting, negotiation, administration, and compliance. Ensure that contracts are executed in accordance with legal, regulatory, and commercial requirements. Develop and implement procurement strategies to support project objectives and timelines. Identify and select vendors, subcontractors, and suppliers based on cost, quality, and performance criteria. Identify, assess, and mitigate project risks related to commercial and financial matters. Develop risk management plans and implement mitigation strategies to minimize project disruptions and liabilities. Collaborate with internal and external stakeholders, including clients, contractors, and vendors, to address commercial and financial requirements. Communicate commercial information effectively to stakeholders, including contract terms, financial status, and risk assessments. Manage and resolve commercial disputes, claims, and variations in collaboration with legal counsel and project teams. Ensure that disputes are resolved promptly and amicably to minimize project delays and costs. Establish and enforce quality assurance processes and procedures for commercial activities. Ensure the accuracy and integrity of commercial data, documentation, and reporting. "
7,Directeur Artistique, Confidentiel ,16/02/2024," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Collaborer avec l’équipe marketing pour définir la direction artistique en accord avec la vision de la marque. Concevoir des concepts visuels et des stratégies créatives pour les campagnes publicitaires, les catalogues, les sites web, les balisages en magasins etc. Veiller à ce que les réalisations artistiques respectent les normes de qualité et la vision de la marque. Encadrer et inspirer une équipe d’infographistes. Superviser la création de visuels, d'animations, de vidéos et d'autres contenus visuels pour les divers supports de communication de la marque. Assurer la cohérence et l'innovation des éléments visuels. S'assurer que tous les visuels respectent les normes de qualité visuelle et les principes de la marque en question. Offrir des retours constructifs et des conseils pour améliorer les créations. Suivre les tendances artistiques, les innovations technologiques et les meilleures pratiques dans le domaine de la création. Intégrer ces nouvelles approches dans les projets créatifs de l'entreprise. Assurer une veille concurrentielle pour connaître et s’adapter aux tendances du marché ; Sélectionner des prestataires extérieurs (photographes, réalisateurs, illustrateurs, etc.) et coordonner avec eux la réalisation de projets. "
8,Responsable Administratif Et Financier, Confidentiel ,16/02/2024," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Suivi de la rentabilité financière de la société et analyse des différents indicateurs Réalisation et remontée des divers reportings vers la Division Participation à l'élaboration des budgets et prévisionnels Participation à la définition des objectifs Supervision, contrôle des clôtures comptables Relai RH local en coordination avec le siège Gestion des frais généraux (gestion des contrats, optimisation des coûts) Supervision du travail de l'assistante administrative & comptable Référent de l'administratif et du financier de la filiale "
