0, MARRAKECH - CHARGES DE CLIENTÈLE EN LANGUE ALLEMANDE - RECEPTION D'APPELS,Centres d'appels, Marrakech ,6 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387 ","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones, flamands ou néerlandais. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
1, CASA - CONSEILLERS FRANCOPHONES EN ASSURANCES - RÉCEPTION D'APPELS,Centres d'appels, Casablanca ,6 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Une expérience en relation client par téléphone est exigée, idéalement dans l’environnement des mutuelles et assurances. Une grande autonomie est demandée, Sens de l’écoute, pro-activité et esprit d’analyse, Aisance relationnelle et pédagogie, Organisation, patience et rigueur, Bonnes capacités rédactionnelles, Esprit d’équipe et attitude positive. Nous offrons les avantages suivants : - Salaire fixe + Primes mensuelles déplafonnées. - CNSS + Mutuelle privée. - Transport gratuit assuré. - Heures supplémentaires rémunérées. - Embauche immédiate. Stabilité de l’emploi. - Horaires : entre 08H et 20H du lundi au samedi / 2 jours off par semaine. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à recrutement@jobdeveloppement.net Tél. 06 68 74 22 84.",Nous recrutons des chargés de clientèle en réception d’appel avec rebond commercial. Votre rôle consiste à : Prendre en charge les demandes d’information ou de renseignements ; Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable ;,Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
2, CASABLANCA / TÉLÉCONSEILLERS POUR SERVICE CLIENT A CASANEARSHORE,Centres d'appels, Casablanca ,6 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché pour le poste : Français excellent, BAC toutes branches et plus, Mâtures et sérieux, avec de bonnes connaissances en téléphonie mobile, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net + primes de production, * CNSS + Mutuelle privée, * Heures supplémentaires rémunérées, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, * Transport assuré. Horaires entre 8H/20H, 2 jours off par semaine. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84. ","Nous recrutons des chargés de clientèle en réception d’appels pour le service client mobile d'un opérateur français, afin de conseiller, assister et apporter des solutions à ses clients.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
3, Conseiller Clientèle Francophone - Réception- Secteur Automobile -Casa,Centres d'appels, Casablanca ,8 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"PROFIL RECHERCHE Français excellent, BAC toutes branches et plus, Mâtures et sérieux, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net de 4500dhs + primes de production * Horaires 8H-18H ou 9H-19H + week-end off, * CNSS + Mutuelle privée, * Heures supplémentaires rémunérées, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, * Transport assuré. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84. WhatsApp 06 68 74 22 84. ","Nous recrutons des chargés de clientèle en réception d’appels pour le service client D’UN GROUPE AUTOMOBILE INTERNATIONAL, afin de conseiller, assister et apporter des solutions à ses clients. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
4, MARRAKECH - TÉLÉCONSEILLERS BILINGUES FRANÇAIS + ANGLAIS EN RÉCEPTION D'APPELS,Centres d'appels, Marrakech ,8 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Bac et +. Français et Anglais parfaitement maitrisés, aisance orale, un réel sens du service et motivé par un plan de carrière dans une entreprise qui offre de véritables opportunités d'évolution. Nous offrons les avantages suivants : - Salaire intéressant + Primes mensuelles de production, - CNSS + Mutuelle privée, - Embauche immédiate. Stabilité de l'emploi. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél. 0661476387","Nous recrutons des chargés de clientèle bilingues FRANCOPHONES/ANGLOPHONES en réception d'appels. Horaires de travail entre 8H et 22H 2 jours off par semaine Rattaché au responsable de l'équipe, votre mission consiste à : - Répondre aux demandes d'informations et réclamations des clients - Apporter conseil et support tout en assurant une qualité optimale de service. - Garantir l'atteinte des objectifs quantitatifs et qualitatifs du projet.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français / Anglais 
5, Casa - Conseiller en Assurance Francophone En Réception D'Appels,Centres d'appels, Casablanca ,8 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Une expérience en relation client par téléphone est exigée, idéalement dans l’environnement des mutuelles et assurances. Une grande autonomie est demandée, Sens de l’écoute, pro-activité et esprit d’analyse, Aisance relationnelle et pédagogie, Organisation, patience et rigueur, Bonnes capacités rédactionnelles, Esprit d’équipe et attitude positive. Nous offrons les avantages suivants : - Salaire fixe de 4500DHS + Primes mensuelles. - CNSS + Mutuelle privée - Transport gratuit assuré. - Heures supplémentaires rémunérées. - Embauche immédiate. Stabilité de l’emploi. - Horaires : entre 08H et 20H. Envoyez votre CV à : recrutement@jobdeveloppement.net Tél. 06 68 74 22 84. ","Nous recrutons des chargés de clientèle en réception d’appel et back-office pour le leader français du courtage en assurance-santé sur internet. Votre rôle consiste à : -Prendre en charge les appels des clients et les guider en fonction de leurs demandes. -Répondre aux questions des clients, et les renseigner sur les offres promotionnelles de votre assurance. -Informer les clients sur le suivi de leurs dossiers et la procédure à suivre. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
6, MARRAKECH - CHARGES DE CLIENTELE GERMANOPHONE EN RECEPTION D'APPELS,Centres d'appels, Marrakech ,8 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
7, Annonce : Salaire compétitif allant jusqu'a 25.000 dh pour travailler dans notre centre d'appels,Centres d'appels, Rabat ,9 heures avant,Société: phenix assurances , CDI ,Commercial Auto,Conseiller Commercial,"Phénix Assurances cabinet français indépendant de courtage en Assurances,nous proposons des solutions adaptées destinées tant aux Particuliers qu?aux Professionnels et Entreprises .", CDI , Commerce / Distribution / Vente / Import-export , Débutant (de 1 à 3 ans) , BAC , Français 
8, RECRUTEMENT MASSIF TÉLÉCONSEILLER EN PRISE DE RENDEZ-VOUS AUDITIF,Centres d'appels, Kenitra ,9 heures avant,Société: La Plate-Forme , CDI ,"Vous êtes débutants et souhaitez vous lancer dans le monde des centres d'appel ? Dans le cadre du développement de nos activités, nous recherchons des téléconseillers motivés pour rejoindre notre équipe dynamique en Prise de rendez-vous auditif. Un cadre de travail agréable vous attends, propice à l'épanouissement de nos collaborateurs. PROFIL RECHERCHE: Profils débutants ou expérimentés. • Une parfaite maîtrise de la langue française. • Force de persuasion, ténacité face aux challenges et grande capacité d'adaptation. Un CDI Plein-temps avec des avantages sociaux complets (CNSS,AMO ) - Une formation continue permettant à chacun de progresser professionnellement. - Salaire attractif. - Challenge weekend OFF. - Un véritable plan de carrière : 100 % de nos encadrants sont issus de la promotion interne.",Votre mission consiste à : Prospecter de nouveaux clients sur un fichier ciblé en émission d'appels. Fixer des RDV de qualité en visant la réalisation des objectifs quantitatifs et qualitatifs. Vous avez un sens de communication et un sens commercial développé. ,"La Plate-Forme est spécialisé dans tout ce qui touche à la relation client, notre mission principale est de satisfaire nos clients et nos collaborateurs . Leader des acteurs locaux dans l'émission d'appels, nous nous adaptons rapidement et efficacement aux besoins clients dans le respect des objectifs fixés afin de gagner la confiance et la satisfaction des prospects à forts potentiels. La Plate-Forme en quelques mot c'est: une politique RH et managérial qui fait de la formation , l'accompagnement et la qualité de l'environnement dans lequel évolue notre richesse humaine sa priorité première une opportunité de carrière pour chaque profil grâce à la diversité de nos projet et des secteurs que nous présentons ( Les assurances, DPC, la vente pour divers produits ... ) Rejoignez l'un des meilleurs employeurs de l'année et bénéficiez d'une vie professionnelle épanouissante. Nos engagement vis-à-vis de nos collaborateurs: Un emploi stable et valorisant. Un véritable plan de carrière et une qualité de travail unique sur le marché.", CDI , Conseil / Consulting , Débutant (de 1 à 3 ans) , BAC , Français 
9, CASA - CONSEILLERS CLIENTELE FRANCOPHONE EN RECEPTION D'APPELS A ROCHES NOIRES,Centres d'appels, Casablanca ,9 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil Recherché Rattaché au Responsable du Groupe, le Chargé de Clientèle est amené à répondre aux demandes d’information, de renseignements ou de réclamations des clients. Énergique, il se doit toujours d'être souriant, aimable et dynamique. Le chargé de clientèle doit avoir le sens de l’écoute pour comprendre et solutionner les problèmes posés par ses interlocuteurs dans un délai raisonnable. Dès votre premier jour d’intégration au sein de l’entreprise, un accompagnement permanent vous sera octroyé. Une formation vous sera dispensée afin de vous apprendre les rudiments du métier et vous doter des compétences techniques nécessaires à la réussite de votre mission. Excellente maîtrise du français à l'oral et à l'écrit. Bonne capacité d'écoute et bonne reformulation. Assidu et ponctuel. Avantages sociaux et autres Vous accéderez à une entreprise à dimension internationale qui vous offre des opportunités d’évolution avantageuses. Nous vous assurons également : Une rémunération attractive (fixe + prime), Un Contrat de travail dès le 1er jour de formation, Un dispositif d’intégration garantissant une prise de fonction réussie, Une couverture sociale complémentaire, en plus d’avantages liés au groupe, Des conditions de travail agréables et une vie d’entreprise animée ! Merci de nous envoyer votre CV à : recrutement@jobdeveloppement.net Tel. 06 68 74 22 84. ","Nous recrutons des charges de clientèle pour une activité qui opère dans la gestion durable de l’habitat : entretien, installation, dépannage…, en réception d'appels pour une clientèle française.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
10, Conseiller Clientèle Francophone - Réception- Secteur Automobile -Casa,Centres d'appels, Casablanca ,10 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"PROFIL RECHERCHE Français excellent, BAC toutes branches et plus, Mâtures et sérieux, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net de 4500dhs + primes de production * Horaires 8H-18H ou 9H-19H + week-end off, * CNSS + Mutuelle privée, * Heures supplémentaires rémunérées, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, * Transport assuré. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84. WhatsApp 06 68 74 22 84. ","Nous recrutons des chargés de clientèle en réception d’appels pour le service client D’UN GROUPE AUTOMOBILE INTERNATIONAL, afin de conseiller, assister et apporter des solutions à ses clients.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
