0, TELECONSEILLERS DEBUTANTS,Centres d'appels, Rabat ,14 heures avant,Société: OXO . COM , CDI ,"Vous avez un bon niveau en langue française. - Vous aimez le relationnel ? -Vous recherchez un premier emploi stable sans rupture d'activité et un salaire garanti ? -Ce poste est pour vous, pour tous les jeunes qui cherchent la stabilité et l'évolution, Rejoignez nos équipes rapidement Salaire+ primes Contrat de travail+CNSS+AMO Cadre de travail AGREABLE",Nous recrutons des TELECONSEILLERS DEBUTANTS pour plusieurs projets,"Implanté à Rabat depuis plus de 10 ans, OXO est un centre d'appel qui assure des prestations de services annuelles en émission et réception pour des leaders du marché français et internationaux qui visent le partenariat, la continuité et la stabilité.", CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC , Français 
1, MARRAKECH - CC GERMANOPHONES EN RECEPTION D'APPELS,Centres d'appels, Marrakech ,20 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones, flamands ou néerlandais. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
2, ASSURANCE FRANCOPHONE EN RECEPTION : GESTION DES DOSSIERS DE SINISTRES - CASA,Centres d'appels, Casablanca ,20 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Une expérience en relation client par téléphone est exigée, idéalement dans l’environnement des mutuelles et assurances. Une grande autonomie est demandée, Sens de l’écoute, pro-activité et esprit d’analyse, Aisance relationnelle et pédagogie, Organisation, patience et rigueur, Bonnes capacités rédactionnelles, Esprit d’équipe et attitude positive. Nous offrons les avantages suivants : - Salaire fixe + Primes mensuelles déplafonnées. - CNSS + Mutuelle privée. - Transport gratuit assuré. - Heures supplémentaires rémunérées. - Embauche immédiate. Stabilité de l’emploi. - Horaires : entre 08H et 20H du lundi au samedi / 2 jours off par semaine. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à recrutement@jobdeveloppement.net Tél. 06 68 74 22 84.",Nous recrutons des chargés de clientèle en réception d’appel avec rebond commercial. Votre rôle consiste à : Prendre en charge les demandes d’information ou de renseignements ; Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable ;,Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
3, CASABLANCA -TÉLÉCONSEILLERS FRANCOPHONES POUR SERVICE CLIENT A CASANEARSHORE,Centres d'appels, Casablanca ,20 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché pour le poste : Français excellent, BAC toutes branches et plus, Mâtures et sérieux, avec de bonnes connaissances en téléphonie mobile, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net + primes de production, * CNSS + Mutuelle privée, * Heures supplémentaires rémunérées, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, * Transport assuré. Horaires entre 8H/20H, 2 jours off par semaine. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84.","Nous recrutons des chargés de clientèle en réception d’appels pour le service client mobile d'un opérateur français, afin de conseiller, assister et apporter des solutions à ses clients. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
4, MARRAKECH - CHARGES DE CLIENTÈLE EN LANGUE ALLEMANDE - RECEPTION D'APPELS,Centres d'appels, Marrakech ,21 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
5, CASABLANCA - CONSEILLERS COMMERCIAUX EN RÉCEPTION D'APPELS – PRIMES ILLIMITEES,Centres d'appels, Casablanca ,21 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"PROFILS RECHERCHES * BAC et plus toutes branches * Maîtrise parfaite de la langue française à l'oral comme à l'écrit, * Maîtrise des outils informatiques, * Fibre commerciale Nous vous offrons - Horaires de travail : entre 8H et 20H. deuxième jour au cours de la semaine. - Salaire net + Primes mensuelles déplafonnées. - Formation gratuite, rémunérée et assurée par des formateurs de haut niveau. - Couverture sociale intégrale CNSS, mutuelle privée - Plan de carrière, évolution en interne rapide. - Transport assuré. Si vous avez un vrai sens du service et si vous êtes animés par le goût du travail en équipe, contactez-nous et offrez-vous une vie professionnelle épanouissante. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à : recrutement@jobdeveloppement.net Tél. 06 68 74 22 84. ","Après une formation de qualité et rémunérée par le Centre, Votre mission consiste à renseigner les clients sur les nouvelles offres proposées et à les accompagner sur les demandes à caractères techniques en l'occurrence les paramétrages multimédias. Le traitement est segmenté en deux opérations: EN RECEPTION D'appels et en MAILING Pour ce poste, nous exigeons une aisance en communication orale avec une bonne qualité rédactionnelle.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
6, CASABLANCA - 4500 DHS + PRIMES - ASSURANCE FRANCOPHONE EN RÉCEPTION D'APPELS,Centres d'appels, Casablanca ,21 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché: Une expérience en relation client par téléphone est exigée, idéalement dans l’environnement des mutuelles et assurances. Une grande autonomie est demandée, Sens de l’écoute, pro-activité et esprit d’analyse, Aisance relationnelle et pédagogie, Organisation, patience et rigueur, Bonnes capacités rédactionnelles, Esprit d’équipe et attitude positive. Nous offrons les avantages suivants : - Salaire fixe + Primes mensuelles déplafonnées. - CNSS + Mutuelle privée. - Transport gratuit assuré. - Heures supplémentaires rémunérées. - Embauche immédiate. Stabilité de l’emploi. - Horaires : entre 08H et 20H du lundi au samedi / 2 jours off par semaine. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à recrutement@jobdeveloppement.net Tél. 06 68 74 22 84. ",Nous recrutons des chargés de clientèle en réception d’appel avec rebond commercial. Votre rôle consiste à : Prendre en charge les demandes d’information ou de renseignements ; Gérer les demandes de réclamation des clients ; Proposer les solutions adaptées à ses interlocuteurs dans un délai raisonnable ; ,Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
7, CASABLANCA - RÉCEPTION D'APPEL PARFAITEMENT FRANCOPHONE- SERVICE CLIENT,Centres d'appels, Casablanca ,21 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché pour le poste : Français excellent, BAC toutes branches et plus, Mâtures et sérieux, Bonne maîtrise d'outils informatiques, Motivé par un plan de carrière vous, évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net + primes de production, * CNSS + Mutuelle privée, * transport assuré, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, Horaires entre 8H/20H, 2 jours off par semaine. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84.","Nous recrutons des chargés de clientèle francophone en réception d’appels pour différentes activités, afin de conseiller, assister et apporter des solutions aux clients. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
8, CHARGÉS DE CLIENTÈLE FRANCO-ANGLOPHONES ET GERMANOPHONES A MARRAKECH,Centres d'appels, Marrakech ,21 heures avant,Société: Co Managers , CDI ," Excellent niveau de la langue ciblée (B2;C1) Motivation pour le métier de la relation client Ecoute active, dynamisme et courtoisie Disponible immédiatement ",CoManagers recrute pour une multinationale à MARRAKECH des agents de réservation franco-anglophones en réception d'appels et des chargés de clientéle Germanophone . Notre offre: 4750dhs + 1000 prime de performance (franco-anglophone) 6200 dhs + 2500 prime de performance (profil germanophone/ Contrat CDI+CNSS+MUTUELLE PRIVÉE+CIMR Formation rémunérée Horaires rotatifs avec 2 jours off par semaine. ,CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans , NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus , Français / Anglais / Allemand 
9, TÉLÉCONSEILLERS FRANCOPHONES EN ÉMISSION D'APPELS -PRIMES DÉPLAFONNÉES-,Centres d'appels, Meknes / Fes / Salé / Kenitra / Marrakech / Agadir ,21 heures avant,Société: Co Managers , CDI ," Très bon niveau en français ( B2-C1). Excellente fibre commerciale. Bonne capacité de convaincre et de persuader. Aisance relationnelle et courtoisie. Rigueur, dynamisme et persévérance. Capacité à travailler efficacement en équipe et à collaborer avec des collègues de divers horizons. ",CoManagers recrute des commerciaux sédentaires BtoC avec un excellent niveau en français. Nous vous proposons: Un contrat CDI+CNSS+mutuelle privée+CIMR. Un salaire fixe net +primes déplafonnées selon vos réalisations. Formation continue et montée en compétences. Formation rémunérée dès le premier mois. ,CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans , NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus , Français 
10, Chargés de clientèle francophones en réception d'appels à Casablanca,Centres d'appels, Casablanca ,21 heures avant,Société: Co Managers , CDI ," Excellent niveau en français ( B2-C1). Motivation pour le métier de la relation client. Ecoute active, dynamisme et courtoisie. Disponible immédiatement. Capacité à travailler efficacement en équipe et à collaborer avec des collègues de divers horizons. Engagement envers l'excellence du service client et la création de relations durables. ","CoManagers recrute des Chargés de clientèle francophones en réception d’appels, à Casanearshore et au centre ville. Notre offre : Contrat CDI, Cnss, mutuelle privée et l'accès à la CIMR après un an d'ancienneté. Un salaire fixe de 4500 dhs +prime de performances de 1500 dhs Formation rémunérée dès le premier mois. Transport assuré pour casanearshore ",CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES, CDI , Métiers des centres d'appels , Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans , NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus , Français 
