,Postes,Secteur d'activité,Locations,Date de publication,Societes,Contrats,Profils,Missions,Details entreprises,Salaire,Metiers,Niveau d'expérience,Niveau d'études,Langues exigées
0, INFORMATICIEN,Grande distribution, Casablanca ,18 heures avant,Société: STE ANONYME , CDI ,"Nous cherchons pour renforcer notre équipe un INFORMATICIEN , ayant des connaissances approfondies en INFORMATIQUE : MISE A JOUR ET INSTALLATION DE LOGICIELS , GERER NOTRE PARC INFORMATIQUE SUIVI ET RESOLUTION DE TOUS LES PROBLEMES DES SYSTEMES D'INFORMATION.",INFORMATICIEN,"Nous sommes une société spécialisée dans la découpe et la transformation de la viande rouge ( produits élaborés , charcuterie , viande rouge entier et découpé ) , destinée pour nos clients divers.", CDI , Commerce / Distribution / Vente / Import-export , Confirmé (de 7 à 10 ans) , BAC+4 , Français 
1, CONSSEILLERS EN ASSURANCES,Centres d'appels, Rabat ,18 heures avant,Société: Achmitech , CDI , Expérience préalable dans la vente. Bonnes compétences en communication et en relation client. Capacité démontrée à atteindre et à dépasser les objectifs de vente. Orientation client et capacité à comprendre les besoins des clients. Esprit d'équipe et capacité à travailler de manière autonome. Excellentes compétences en négociation et en persuasion. Maîtrise de la langue française , Évaluer les risques liés à l'assurance et proposer des solutions adaptées aux besoins spécifiques de chaque client. Effectuer des analyses approfondies des polices d'assurance existantes pour identifier les lacunes et recommander des améliorations. Collaborer étroitement avec les clients pour comprendre leurs exigences et les conseiller sur les options de couverture les plus appropriées. Gérer efficacement les réclamations liées à l'assurance en assurant un suivi approprié et une résolution rapide. Suivre les tendances et les évolutions du marché de l'assurance et fournir des conseils stratégiques à l'équipe de direction. ,"Acteur reconnu de la transformation Digitale, ACHMITECH se distingue par son approche orientée Innovation et Efficacité opérationnelle. Des talents experts dans leurs domaines et un savoir faire distribué habilement entre notre centre offshore et nos interfaces clients dans les quatre coins du globe.", CDI , Banque / Assurance , Débutant (de 1 à 3 ans) , BAC+2 , Français 
2, DATA ENGINEER,Informatique / Internet / Multimedia, Tanger ,18 heures avant,Société: ADS GLORY , CDI ,"ADS GLORY recrute un Data Engineer expérimenté pour rejoindre notre équipe technique dynamique. Dans ce rôle, vous serez responsable de concevoir, construire et optimiser des pipelines de données fiables et évolutifs pour alimenter nos applications analytiques et nos systèmes décisionnels. Responsabilités principales :Concevoir, développer et maintenir des pipelines de données robustes en utilisant des technologies telles que Hadoop, Spark, Kafka et l'écosystème Big Data; Créer et optimiser des processus ETL/ELT pour extraire, transformer et charger efficacement les données provenant de sources diverses; Collaborer avec les équipes de data science et d'analyse pour comprendre les besoins en données et fournir des solutions techniques adaptées; Assurer la qualité, la fiabilité et la performance des pipelines de données; Mettre en place des solutions de surveillance et de journalisation (ELK) pour garantir la visibilité et le dépannage des systèmes; Contribuer à l'automatisation des processus de déploiement et d'exploitation à l'aide de technologies de conteneurisation comme Docker et Kubernetes; Participer à la prise de décisions technologiques stratégiques pour l'architecture des données .","Qualifications requises : Avoir au Minimum de 2 ans d'expérience professionnelle en tant que Data Engineer ou un rôle similaire Excellente compétences en programmation backend (Go, Python, Scala, Java) Connaissances solides des technologies frontend (React) Expérience dans la conception et la mise en œuvre de pipelines de données à l'aide d'outils Big Data Maîtrise des pratiques de développement logiciel et de l'intégration continue Compréhension des concepts de machine learning et d'intelligence artificielle Capacité à travailler de manière autonome et à gérer plusieurs tâches en parallèle Excellent esprit d'équipe et de collaboration Motivation, curiosité intellectuelle et volonté d'apprendre continuellement Atouts supplémentaires :Expérience dans la création et l'optimisation d'entrepôts de données Connaissance des méthodologies Agile et des pratiques DevOps Familiarité avec les technologies cloud (AWS, GCP, Azure) Compétences en architecture de systèmes distribués et tolérants aux pannes Ce que nous offrons : Un environnement de travail stimulant et collaboratif au sein d'une équipe technique talentueuse Des opportunités de formation et de développement professionnel continu Un package de rémunération compétitif avec des avantages sociaux attrayants Un cadre de travail moderne et agréable, propice à l'innovation et à la créativité Une culture d'entreprise valorisant l'inclusion, le respect et l'épanouissement personnel Si vous êtes passionné par les données, que vous aimez relever des défis techniques et que vous souhaitez rejoindre une équipe dynamique dans une entreprise à la pointe de la technologie, n'hésitez pas à postuler pour ce poste de Data Engineer passionnant. Postulez dès maintenant et rejoignez-notre groupe ADS GLORY ",Nous somme une société spécialisée dans le Web Marketing, CDI , Informatique / Internet / Multimedia , Débutant (de 1 à 3 ans) , BAC+4 , Français 
,Postes,Secteur d'activité,Locations,Date de publication,Societes,Contrats,Profils,Missions,Details entreprises,Salaire,Metiers,Niveau d'expérience,Niveau d'études,Langues exigées
3, Ingénieur Qualité,Industries (autres), Casablanca ,18 heures avant,Société: SMART PROGRESS , CDI ,"Profil recherché: Formation: Bac +5 Ecole d'ingénieur ou master en QHSE Expérience: 3 à 5 ans minimum Maîtrise des outils informatiques (tableaux de bord, GED [gestion électronique de documents] …) Compétences avancées dans la gestion de la qualité, le controle de la qualité et la gestion des projets Esprit d'équipe et excellentes compétences en communication Maîtrise de l’Anglais ",Les principales missions du poste sont: Mise en œuvre de la démarche qualité Suivi et contrôle des indicateurs qualité Relations avec les différents partenaires Veille réglementaire Pilotage des projets liés à l'amélioration de la performance de la société ,"Smart Progress est un cabinet spécialisé dans les missions de Conseil et d’Accompagnement pour la mise en place de Systèmes de Management conformes aux normes internationales. Ainsi que, la fourniture de Services de Formation et d'Ingénierie de Formation. Notre expertise s'étend à divers domaines, notamment le Conseil en Taxe et Bilan Carbone, l'Accompagnement aux Certifications Environnementales (BREEAM, HQE, LEED), la Catégorisation Douanière, le Conseil en Recrutement de profils spécialisés Nous recrutons pour le compte de notre client qui intervient dans le secteur industriel (un) ou (une) responsable qualité. Poste basé à Casablanca. Si votre profil correspond aux critères ci-après, veuillez envoyer votre candidature à l'adresse : ck.smartprogress@gmail.com", CDI , Qualité / Sécurité / Hygiène / Environnement , Débutant (de 1 à 3 ans) , BAC+4 / BAC+5 et plus , Arabe / Français 
4, MARRAKECH - CHARGES DE CLIENTELE GERMANOPHONE EN RECEPTION D'APPELS,Centres d'appels, Marrakech ,18 heures avant,Société: E-MEDIAS , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV via ce site ","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+3 , Allemand 
5, Recherche d’un responsable d’émergement,Tourisme / Hôtellerie / Restauration, Mohammedia ,18 heures avant,Société: Hotel sabah , CDI ,Hôtellerie ,Chef d'embergement,"Hotel sabah , pres du parc des villes jumelées et de la plage aussi . Pres de amber gallery ( 4,2km)", CDI , Tourisme / Hôtellerie / Restauration ,non spécifié,non spécifié, Arabe / Français / Anglais 
,Postes,Secteur d'activité,Locations,Date de publication,Societes,Contrats,Profils,Missions,Details entreprises,Salaire,Metiers,Niveau d'expérience,Niveau d'études,Langues exigées
6, MARRAKECH - CHARGES DE CLIENTELE GERMANOPHONE EN RECEPTION D'APPELS,Centres d'appels, Marrakech ,20 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
