1,Carrefour,Responsable Contrôle de Gestion Junior,Route nationale 1km 3.5 douar Oulad Othman- SKHIRAT,"Poste :Affecté à la direction contrôle de gestion, votre rôle est de garantir le pilotage de la performance.Principales missions:Assister la BU au niveau de ses décisions stratégiquesGarantir le pilotage de la performance de la BUPiloter l'activité contrôle de gestionAssurer le reporting mensuel de l’activitéS’assurer de la fiabilité, la sincérité, la pertinence et la cohérence des informations financières traitées", Publication : du 14/03/2024 au 14/05/2024 , Casablanca (Maroc) ,2, Gestion / Comptabilité / Finance - Secteur Distribution - ,Gestion / Comptabilité / Finance,Débutant, Bac +5 et plus Minimum , CDI ,"Profil recherché :De formationBac+5en contrôle de gestion, vous justifiez d'une première expérienceen tant que responsable contrôle de gestion, dans laquelle vous avez développé les compétences suivantes :Capacité à obtenir et collecter toute information utile et la traduire en éléments financiersCapacité à anticiper les dérives et déterminer les zones d'optimisationCapacité à produire des documents de synthèse et les analyserOrientation résultats, Capacité d'analyse & de synthèse et Travail en équipe, sont les atouts et facteurs clés de succès de ce poste.« LabelVie s’engage à prévenir toute forme de discrimination et notamment celles fondées sur le sexe ou la situation et les responsabilités familiales. LabelVie s’engage à promouvoir l’égalité des chances entre les hommes et les femmes, en matière d’accès à l’emploi et à la formation, de conditions de travail, de rémunération, d’évolution de carrière et d’accès à des postes à responsabilité ».","Entreprise :Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, leGroupe marocain LabelVieest un acteur économique de référence et leader de la grande distribution au Maroc.En 2009, à travers la signature du contrat de franchise avec leGroupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour Market et du format hyper cash Atacadao.Le Groupe LabelVie présente chaque année un plan de développement soutenu renforçant sa présence territoriale avec ses179 magasinsrépartis dans29 villesdu royaume et ses3 plateformes logistiqueset un chiffre d’affaires réalisé de11.7 milliards de dirhamsen 2021.En 2021, leGroupe LabelViea entamé sa transformation digitale afin de répondre aux enjeux d’innovation et aux besoins des consommateurs finaux. Ce sont ainsi de nombreux projets structurants qui sont actuellement en construction au sein du Groupe pilotés par nos équipes SI, Digital et Data ; constituées d’experts reconnus dans leur domaines et animés par la volonté de relever les challenges de l’innovation et de la transformation digitale dans un secteur en plein essor.", Besoin d'objectivité Organisation Rationalisme Respect des règles Conventionnel Flexibilité Extraversion Implication au travail 
3,Lydec,Responsable Analyses microbiologiques (H/F),"48, rue Mohamed Diouri , Q. Centre Ville CASABLANCA","Poste :Le Responsable Analyses Microbiologiques a pour mission principale de superviser l’activité de l’unité de Microbiologie : planification, contrôle et organisation des programmes d’analyses microbiologiques depuis la prise en charge des échantillons jusqu'à la remise des résultats, et de vérifier leur conformité par rapport aux normes marocaines en vigueur.a. RESPONSABILITES ET TACHES• Encadrer et superviser les techniciens sous sa responsabilité.• Déterminer les caractéristiques et spécifications techniques des équipements et produits.• Traiter les non-conformités.• Lancer les demandes d’achat.• Planifier les analyses selon la priorité.• Sélectionner et évaluer des fournisseurs critiques.• Surveiller la performance et la validité des résultats.• Veiller sur l’application des procédures et instructions techniques.• Informer le responsable du laboratoire en cas de non-conformité d’eau potable avant même l’édition du rapport d’analyses.• Informer immédiatement le responsable du laboratoire pour déclencher une analyse de vérification à la suite d’une non-conformité d’eau potable.• Suivre le programme d’étalonnage des équipements critiques de l’unité Microbiologie étalonnés en externe par des prestataires accrédités ISO/CEI 17025 ou en interne.• S’assurer de l’application des mesures de sécurité et de l’hygiène au niveau de son unité et réaliser des visites de sécurité.• Assurer les tâches et responsabilités du technicien microbiologie.", Publication : du 14/03/2024 au 14/05/2024 , Casa (Maroc) ,1, Environnement (métiers de l') - Secteur Chimie / Parachimie / Peintures - ,Environnement (métiers de l'),De 1 à 3 ans, Bac +3 Minimum - Université , CDI ,"Profil recherché :• Licence ; Spécialité : Biologie / Microbiologie/ Environnement ou l’équivalent en formation et expérience pertinente pour le poste.• Formations complémentaires:- Formation en techniques d’analyses orientée vers la matrice Eau comme ATOUT.- Formation en Hygiène, Santé et Sécurité orientée Laboratoire d’analyses comme ATOUT.- Formation en métrologie comme ATOUT.Compétences requises :• Compétences techniques- Techniques d’analyses microbiologiques orientée vers la matrice Eau.- Techniques de prélèvement d’échantillons d’eau pour analyses microbiologiques.- Techniques statistiques appliquées aux analyses de l’eau et calcul des incertitudes.- Métrologie dans un laboratoire d’analyses microbiologiques.- Calcul de l’incertitude de mesure en métrologie.- Exploitation des certificats d’étalonnage.• Compétences transverses- Maîtrise des outils informatiques (Word, Excel et Internet).- Maîtrise des procédures et instructions applicables dans un laboratoire d’analyses.- Respect des engagements de services liés à son activité.- Compétences rédactionnelles en français.Expériences :- 3 ans dans un poste similaire.- Avoir travaillé dans un laboratoire accrédité ISO/CEI 17025.","Entreprise :Lydec, assure depuis 1997 la gestion de services essentiels pour les habitants du Grand Casablanca.A travers la gestion de la distribution de l’eau, de l’électricité, de l’assainissement et de l’éclairage public, notre entreprise participe au bon développement de la plus grande agglomération du Royaume, en plaçant l’amélioration de la qualité de vie des habitants au cœur de ses préoccupations.Orientation client, Innovation, Intégrité et Solidarité sont les valeurs qui unissent nos3400 collaborateurs.", Recherche de nouveauté Respect des règles Ténacité Implication au travail 
4,Carrier,Marketing Communications Specialist (H/F),"Immeuble LA COMANAV, 7 Boulevard la résistance","Poste :As part of our expansion, we are recruiting aMarketing Communications Specialist (H/F)for our partner Aritech, a leading company in the commercial security manufacturing business.This is a key role to support, contribute and work very closely with the Aritech Marketing organization. As a Marketing Communications Specialist, you will be working directly with Customer Marketing Leader and interacting with the Product Management and Sales Teams on the different product marketing and marcom initiatives, collaterals development (brochures, flyers, catalogues,…), images required from promotions, PR, Events, Tradeshows, etc, aligned with the brand guidelines . Also, the candidate will be responsible to execute the mailing campaigns, create reports and analysis on the defined KPIs to track the success, internal and external announcements and website management.Key responsibilities :Support communication activities across the entire organization: Website, e-mail campaigns, customer events, sales actions, trade shows and road shows for the region creating with Customer Marketing standard packages and templates that will facilitate the consistent messaging and actions across the region.Be the key main contact for creativity actions in the Marketing organization – supporting creation of visuals for LinkedIn, creation of all type of collaterals for product launches and sales activities.Manage external marketing automation tool to communicate to our customers being able to create lead to revenue campaigns in the ERP system including nurture schemes. Set up KPIs to define success, design the communication, launch to the right audience and report out the action versus KPIs defined and define improvement actions.Management of mailing of general mailing accounts.Create static content for the Aritech website in conjunction with Marketing Team.Be in contact with Sales Teams to support them in local activities.Help build Aritech reputation and awareness in the regionOrganize, implement, and maintain the tactical day-to-day activities needed.", Publication : du 14/03/2024 au 14/05/2024 , Casablanca (Maroc) ,1, Marketing - Secteur Agence pub / Marketing Direct ,Marketing,De 1 à 3 ans, Bac +5 et plus Minimum - Master - Ecole de commerce , CDI ,"Profil recherché :You will be a great fit on our team if :Bachelor’s degree in Industrial Design, Graphic Design, or related field or equivalent experience preferred.1-3 years experience in a similar role for B2B.hSelf-starter motivated to expand skill set and grow experience.Effective organizational, problem solving and multi-tasking skills.Excellent command of written and spoken English, proficiency in any of the followingDemonstrated proficiency working in content management systems, marketing automation, email marketing, social media and CRM platforms. Specifically:- Experience with HTML, Adobe creative (InDesign and Photoshop) and other design tools knowledge will be welcome (Canva, video maker, ….)- Experience with Pardot in conjunction with SalesForce.com or other Marketing Automation Tools.What can we offer you?Administrative working hours;Work-life balance;Satrt-up spirit in a fast growing international environment;Continuous learning environment;Attractive package;Team-building and more activities...etc.","Entreprise :C’est en 1902 que le Dr Willis H. Carrier invente et fabrique le tout premier climatiseur moderne au monde. Depuis cette date,Carrier Corporation est le numéro un mondial de la climatisation, avec plus de 4 millions d’unités vendues par an, assemblées dans plus de 40 usines de production, installées et entretenues sur cinq continents.Créée en 2014, MCS est le fruit d’une joint-venture signée entre VENTEC Maroc et Carrier, numéro 1 mondial dans le domaine du froid. MCS assure le support technique, commercial et administratif à distance pour le compte deCarrier France,Carrier Espagne,Otis France,Chubb France,CIAT,Carrier Transicold,Carrier Réfrigérationet d’autres sociétés du groupe. MCS permet d’assurer avec efficience et efficacité le traitement des demandes particulières et des consultations, la saisie des commandes, la gestion des réclamations ainsi que la planification des interventions et le support technique à distance.Vous souhaitez révéler votre potentiel dans un environnement challengeant et collaboratif ?Vous souhaitez évoluer dans une structure soucieuse de l’épanouissement et de la satisfaction de ses moyens humains ?A vous de saisir l’opportunité et de concrétiser vos idées au cœur de nos projets ambitieux, en nous envoyant votre candidature.", Recherche de nouveauté Extraversion Ambition Créativité Flexibilité Implication au travail Organisation 
5,McDonald's Maroc,Assistant(e) administrative,"Boulevard Sidi Mohamed Ben Abdellah, Marina, Tour Crystal 3, 5ème étage","Poste :Le restaurant McDonald's de Meknès recherche un(e) Assistant(e) administrativeSous la supervision du Directeur de restaurant, vous aurez pour mission d'assurer le suivi administratif du personnel ainsi que la gestion administrative réglementaire et quotidienne du restaurant et ce en étroite collaboration avec les parties prenantes :Suivi administratif du personnelCréer les dossiers, saisir les éléments de contratsAccueillir les nouveaux salariés et vérifier les documents liés à l'embauchePlanifier les visites médicalesContrôler et envoyer les courriers", Publication : du 14/03/2024 au 14/05/2024 , Meknès (Maroc) ,1, Assistanat de Direction / Services Généraux - RH / Personnel / Formation - Secteur Agroalimentaire - Hôtellerie / Restauration ,Assistanat de Direction / Services Généraux,De 1 à 3 ans, Bac +2 Minimum - Formation professionnelle , CDI ,"Profil recherché :Profil recherché :De Formation Bac+2/3 en économie, gestion ou RHVous avez une expérience réussie dans un poste similaire.Une connaissance du milieu restauration serait un plus pour ce poste.Vos atouts :Sens d'organisation.Aisance relationnelle.Ponctualité","Entreprise :McDonald’s Maroc est une entreprise 100% marocaine.Notre mission est d’offrir une expérience agréable, facile et conviviale pour tous les Marocains et ce depuis plus de 30 ans.Notre enseigne compte aujourd’hui, 64 restaurants dans 21 villes, avec 5 000 collaborateurs engagés pour offrir la meilleure expérience à nos clients.L’accélération de notre plan de développement est accompagnée d'une stratégie de recrutement, intégration, formation et plan de carrière et ce dans un cadre favorisant la diversité, l’équité, l’inclusion ainsi que la sécurité de nos collaborateurs.Nous évoluons tous ensemble dans un cadre de travail bienveillant porté par les valeurs : service, inclusion, intégrité, communauté et famille.Que ce soit une première expérience professionnelle ou une nouvelle expérience, McDonald’s Maroc est très engagé pour la rendre agréable et bénéfique en termes d’apprentissage et d’épanouissement pour ses jeunes talents", Extraversion Besoin d'objectivité Flexibilité Besoin d'autonomie Implication au travail Organisation 
6,Akinna,Assistante de Direction,52 Avenue Pasteur,"Poste :Nous recrutons uneassistante de directionpour accompagner le volet développement de la sociétéMISSION: assister dans la gestion et l’organisation administrative des affaires courantesGestion des Communications :Répondre aux appels téléphoniques, aux e-mails et aux courriers entrants.Diriger les communications vers les départements appropriés.Gérer l'agenda de la direction en planifiant et en organisant les réunions et les rendez-vous.Coordination des Réunions :Planifier et organiser les réunions internes et externes.Préparer l'ordre du jour et les documents nécessaires.Prendre des notes et rédiger des comptes rendus lors des réunions.Soutien Administratif :Gérer les documents et les dossiers de manière organisée et confidentielle.Collaboration avec les Départements :Coordonner avec les différents départements pour assurer une communication efficace.Faciliter la circulation de l'information entre la direction et les autres équipes.", Publication : du 14/03/2024 au 14/05/2024 , Casablanca (Maroc) ,1, Assistanat de Direction / Services Généraux - Secteur Autres Industries ,Assistanat de Direction / Services Généraux,De 3 à 5 ans, Bac +3 Minimum , CDI ,Profil recherché :FORMATION :Bac + 3 ou plusCOMPETENCE REQUISES :- Capacité d’organisation- Rigueur et sens de responsabilité- AutonomieLANGUES :- Français : parfaite maitrise- Anglais : Bon niveau,"Entreprise :Basés à Casablanca, laSociété Akinna est une Société Holding à 2 pôles:- Un pole industrielle qui détient des participations dans de grandes sociétés de renom et- Un pôle Immobilier résidentiel et logistique mû par une forte volonté de faire la différence. L’objectif étant de transcender les conditions de vie en impactant positivement tous ses publics", Organisation Flexibilité Conventionnel Extraversion 
7,ALTEN Maroc,Ingénieur Système (Automobile),Parc Fès Shore Parc- Route sidi Hrazem - Fès - Maroc,"Poste :Collaborer avec les parties prenantes pour identifier tous les besoins en fonctionnalités ADAS.Définir les objectifs de performance fondamentaux pour toutes les fonctionnalités ADAS, basés sur l'analyse des benchmarks du paysage concurrentiel, la traduction de la voix du client et la connaissance de l'industrie en exigences d'ingénierie.Créer et soutenir le plan de validation central pour l'équipe d'ingénierie de test.Fournir une évaluation de l'impact pour les modifications de produits/fonctionnalités.Identifier et résoudre les problèmes interfonctionnels affectant les performances du système ADAS.Soutenir le développement et la validation des performances des systèmes ADAS sur les véhicules.Soutenir l'ingénieur des performances dans la définition du plan de développement des performances virtuelles et expérimentales géré par le plan de test intégré (PSI).Assurer l'étalonnage des systèmes ADAS en collaboration avec d'autres départements et fournisseurs de systèmes.Collecter des données objectives pour quantifier la sensation subjective ou clarifier l'écart entre l'état actuel et l'objectif lorsque nécessaire.Créer une expertise des fonctionnalités ADAS et soutenir le développement de la feuille de route.Établir des benchmarks sur les principaux systèmes ADAS et fonctionnalités des concurrents.", Publication : du 14/03/2024 au 14/05/2024 , Rabat (Maroc) ,non spécifié, Méthodes / Process / Industrialisation - Secteur Automobile / Motos / Cycles ,Méthodes / Process / Industrialisation,De 1 à 3 ans, Bac +5 et plus Minimum , CDI ,"Profil recherché :Maîtrise des outils Google Docs, Sheets et Pages.Excellentes compétences en résolution de problèmes.Excellentes compétences en communication, présentation et relations interpersonnelles.Capacité à s'adapter aux changements majeurs de stratégie tout en assurant la continuité du travail et la motivation.Disposition à effectuer des voyages de développement d'une à deux semaines, tant sur le plan national qu'international.Connaissance du marché des systèmes ADAS automobiles concurrentiels, des tendances du marché et des protocoles de sécurité (par exemple, NCAP, IIHS, NHTSA).Dossier de conduite propre et capacité à conduire des véhicules d'essai sur la voie publique.2 ans d'expérience dans le domaine du développement de produits ADAS.Compréhension des jalons de développement en ingénierie des véhicules et de l'électricité chez Stellantis.Maîtrise des outils Google Docs, Sheets et Pages.Excellentes compétences en résolution de problèmes.Excellentes compétences en communication, présentation et relations interpersonnelles.Capacité à s'adapter aux changements majeurs de stratégie tout en assurant la continuité du travail et la motivation.Disposition à effectuer des voyages de développement d'une à deux semaines, tant sur le plan national qu'international.Connaissance du marché des systèmes ADAS automobiles concurrentiels, des tendances du marché et des protocoles de sécurité (par exemple, NCAP, IIHS, NHTSA).Dossier de conduite propre et capacité à conduire des véhicules d'essai sur la voie publique.2 ans d'expérience dans le domaine du développement de produits ADAS.Compréhension des jalons de développement en ingénierie des véhicules et de l'électricité chez Stellantis.Compréhension du processus de développement en V et de la traçabilité des exigences.Connaissance des dynamiques automobiles et des variables d'ingénierie des véhicules affectant les performances","Entreprise :ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300 consultants et vise un centre d’excellence de 3100 consultants ALTENiens en fin 2024. Avec plus de 90 recrutements par mois, ALTEN Maroc est désormais un acteur majeur de l’insertion professionnelle des ingénieurs. Nous accompagnons nos clients, leaders de l’Industrie dans leurs stratégies de développement dans les domaines de l’automobile, du ferroviaire, de l’IT, de la R&D et des Télécoms & Médias.Rejoindre ALTEN MAROC c’est bénéficier :· Des parcours professionnels diversifiés avec des opportunités de carrière, une mobilité interne, sectorielle, géographique et métiers.· Des formations certifiantes et diplômantes.· Des événements réguliers pour combiner bien être et performance.", Organisation Besoin de réflexion Respect des règles Recherche de nouveauté 
8,CAC (Centrale Automobile Chérifienne),Conseiller Commercial Seat (H/F),"66, bd Moulay Slimane , Roches noires","Poste :Mission principale:Endosser des fonctions d’ambassadeur de la marque, assister et conseiller les prospects et les clients tout au long du processus de vente et assurer le suivi satisfaction client.Tâches:Développer un portefeuille clients en captant les opportunités afin de générer du CA et de la croissance.Assurer le suivi nécessaire de ce portefeuille de projets et fidéliser les clientsGestion de la satisfaction des clients après remise du véhicule et remontée des informationsIdentification des nouvelles opportunités commercialesSuivi client annuel pour projet de renouvellement", Publication : du 14/03/2024 au 14/05/2024 , Casablanca (Maroc) ,1, Commercial / Vente / Export - Secteur Automobile / Motos / Cycles - ,Commercial / Vente / Export,De 3 à 5 ans, Bac +5 et plus Minimum , CDI ,Profil recherché :Minimum niveau Bac+4 Commerce/VenteConnaissance des techniques de vente d’automobile serait un plusUne expérience d'au moins 3 ans dans le commercial,"Entreprise :LaCentrale Automobile Chérifienne (CAC)est l'importateur exclusif au Maroc des marquesVolkswagen, Volkswagen Utilitaires, Audi, Skoda, Porsche, Bentley, Seat et Cupra, ayant chacune développée une réelle identité les rendant uniques sur leur segment de marché.Dotées d'un fort potentiel de développement au Maroc et à l'international, les marques s'appuient sur des services experts et des compétences mutualisés pour augmenter leur performance et accompagner leur croissance.La politique Ressources Humaines de la CAC se décline autour de 4 grands axes à l’égard de ses collaborateurs :Développer leur expertise par l’accompagnement, l’amélioration des compétences et la responsabilisation;Encourager l'évolution de carrière de ses collaborateurs partageant les mêmes passions et valeurs et qui ont su construire une véritable culture d’entreprise qui favorise la satisfaction client (interne/externe), l’esprit d’équipe et l’expertise;Fidéliser par la motivation et la reconnaissance;Valoriser leur performance en fixant des objectifs clairs, précis et réalisables.Venez participer au développement de marques leader et prestigieuses sur le territoire marocain, au sein d’une entreprise dynamique et innovante !!", Recherche de nouveauté Extraversion Volonté de persuasion Ténacité Ambition Créativité Intuition / Spontanéité Besoin d'autonomie 
9,ALTEN Maroc,EE Architecture Engineer,Parc Fès Shore Parc- Route sidi Hrazem - Fès - Maroc,"Poste :Physical & Functional Partitioning and Allocation of features and functions in order to meet systems/subsystem performance requirements, plus cybersecurity and functional safety requirements ;Create mechanizations / schematics for subsystem domains ;Create topology/functional diagrams showing data exchange/interactions between ;Drive Interfaces Standardization for the Domain / Subsystem ;Oversee the Functional System Design modeling following the allocation decisions ;Oversee Network & Diagnostics system design following the allocation decisions ;Work with the hardware team to provide requirements for microcontrollers, memory and/or communication chipsets to support the physical/functional allocation decisions ;Conduisez sans relâche à la livraison du cycle de vie précoce grâce à une approche agile ;Développer une culture de collaboration, de diversité et d’inclusion ;Volonté d’agir et d’obtenir des résultats.", Publication : du 14/03/2024 au 14/05/2024 , Rabat (Maroc) ,non spécifié, Méthodes / Process / Industrialisation - Production / Qualité / Sécurité / Maintenance - Secteur Automobile / Motos / Cycles ,Méthodes / Process / Industrialisation,De 1 à 3 ans, Bac +5 et plus Minimum , CDI ,"Profil recherché :Bac+5 en génie électrique ou en génie électrique/électronique ;1 à 3 ans d’expérience dans l’industrie dans des rôles de conception d’architecture EE ou d’architecture en génie électrique ;Expérience dans la définition et la conception de systèmes informatiques en réseau embarqués, y compris la définition de topologies, de composants et d’interfaces de systèmes ;Expérience dans la conception de communications réseau : protocoles CAN, CAN-FD, LIN et Ethernet ;Compréhension des architectures EE typiques des véhicules et des processus de développement automobile ;Solide penseur systémique ;La maîtrise de l’anglais est requise, toute autre langue européenne est un avantage ;Maîtrise ès sciences en génie électrique ou dans un domaine connexe ;Expérience avec les protocoles de communication basés sur Ethernet : pontage audio-vidéo (AVB) ; Réseaux sensibles au temps (TSN) ; Approche orientée services (SOME/IP) ; TCP/UDP ; MQTT ;Connaissance des protocoles de communication hors bord (connectivité WiFi, 4G/5G, V2X) ;Conception de plates-formes ou de composants EE pour les architectures orientées services (SOA) ;Expérience de l’utilisation d’outils de réseautage tels que CANalyzer, CANoe, PREEvision ;Savoir-faire et expérience des processus et des outils AUTOSAR ;Fait preuve d’excellentes communications écrites et verbales, claires et soucieuses du détail, sur des sujets très complexes.","Entreprise :ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300 consultants et vise un centre d’excellence de 3100 consultants ALTENiens en fin 2024. Avec plus de 90 recrutements par mois, ALTEN Maroc est désormais un acteur majeur de l’insertion professionnelle des ingénieurs. Nous accompagnons nos clients, leaders de l’Industrie dans leurs stratégies de développement dans les domaines de l’automobile, du ferroviaire, de l’IT, de la R&D et des Télécoms & Médias.Rejoindre ALTEN MAROC c’est bénéficier :· Des parcours professionnels diversifiés avec des opportunités de carrière, une mobilité interne, sectorielle, géographique et métiers.· Des formations certifiantes et diplômantes.· Des événements réguliers pour combiner bien être et performance.", Organisation Besoin de réflexion Respect des règles Recherche de nouveauté 
10,ALTEN Maroc,Ingénieur CFD,Parc Fès Shore Parc- Route sidi Hrazem - Fès - Maroc,"Poste :Réaliser des études pour les filières CFD (Construction model, aérodynamique, thermique moteur, thermique habitacle, fiabilité à l’usage dimensionnement véhicule) ;Rédaction des rapports techniques en français et en anglais ;Mise à jour du référentiel (mise à jour de documents méthodologiques en Français et en Anglais) ;Lancement des tests « en rafale » pour validation des évolutions méthodologiques sur les panoramas de cas métiers et synthèse des résultats ;Mise à jour de modèles CFD sous ANSA (mise à jour d’organe, assemblage voiture complète...) ;Participation à la capitalisation des connaissances.", Publication : du 14/03/2024 au 14/05/2024 , Rabat (Maroc) ,non spécifié, Méthodes / Process / Industrialisation - Production / Qualité / Sécurité / Maintenance - Secteur Automobile / Motos / Cycles ,Méthodes / Process / Industrialisation,De 1 à 3 ans, Bac +5 et plus Minimum , CDI ,"Profil recherché :Formation et Expérience :Formation Bac+5 orientée Mécanique des Fluides (Aérodynamique / Thermique) avec au moins 1 an d’expérience en calculs CFD dans l’automobile dans la filière ANSA – ANSYS FLUENT – ENSIGHT/META.Compétences techniques et qualités requises :Maitrise d’ANSA pour la CFD ;Maitrise obligatoire du post-traitement CFD sous Ensight, et sous MetaPost ;Maitrise de la suite ANSYS Fluent (Fluent et Fluent Meshing, expérience professionnelle validée de 2 ans minimum) ;Aisance d’utilisation de la suite Microsoft Office et VBA ;Langues Française et Anglaise fluides (indispensables pour support « worldwide ») ;Bon niveau de communication en Anglais ;Capacité de collabore à distance avec d’autres équipes ;Maîtrise des logiciels : ANSA, ENSIGHT/META, TAITHERM, Catia V5/6.","Entreprise :ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300 consultants et vise un centre d’excellence de 3100 consultants ALTENiens en fin 2024. Avec plus de 90 recrutements par mois, ALTEN Maroc est désormais un acteur majeur de l’insertion professionnelle des ingénieurs. Nous accompagnons nos clients, leaders de l’Industrie dans leurs stratégies de développement dans les domaines de l’automobile, du ferroviaire, de l’IT, de la R&D et des Télécoms & Médias.Rejoindre ALTEN MAROC c’est bénéficier :· Des parcours professionnels diversifiés avec des opportunités de carrière, une mobilité interne, sectorielle, géographique et métiers.· Des formations certifiantes et diplômantes.· Des événements réguliers pour combiner bien être et performance.", Organisation Besoin de réflexion Respect des règles Recherche de nouveauté 
11,ALTEN Maroc,Responsable Construction Modèle,Parc Fès Shore Parc- Route sidi Hrazem - Fès - Maroc,"Poste :Récupération des Données d’entrées ( CAOs, Géométrie, Références des pièces …) chez les différents fournisseurs ;Assurer la construction complète ou la mise à jour des modèles véhicule (Nettoyage, maillage, nomenclature) ;Pilotage et suivi de construction modèles et calcul chez les fournisseurs + garantir la qualité des livrables reçus ;Rédaction des rapport techniques en français et en anglais ;Assurer la capitalisation et la mise à jour du référentiel (mise à jour de documents méthodologiques en Français et en Anglais).", Publication : du 14/03/2024 au 14/05/2024 , Casablanca (Maroc) ,non spécifié, Méthodes / Process / Industrialisation - Production / Qualité / Sécurité / Maintenance - Secteur Automobile / Motos / Cycles ,Méthodes / Process / Industrialisation,De 3 à 5 ans, Bac +5 et plus Minimum , CDI ,"Profil recherché :Formation et expérience :Formation Bac+5 orientée Mécanique avec 5 ans d'expérience minimum ;Une première expérience dans l’automobile sera un plus. Compétences requises.Compétences techniques et qualités personnelles requises :Bonne connaissance des organes sous capot et sous caisses d’une voiture (Moteur, systèmes de refroidissement, climatisation, échangeurs, ligne d’échappement …) ;Maitrise obligatoire de PLM, ANSA, LS-DYNA, Nastran ;Bon niveau de communication/rédaction en Français et Anglais ;Capacité de collaborer à distance avec d’autres équipes (Clients, fournisseurs …).","Entreprise :ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300 consultants et vise un centre d’excellence de 3100 consultants ALTENiens en fin 2024. Avec plus de 90 recrutements par mois, ALTEN Maroc est désormais un acteur majeur de l’insertion professionnelle des ingénieurs. Nous accompagnons nos clients, leaders de l’Industrie dans leurs stratégies de développement dans les domaines de l’automobile, du ferroviaire, de l’IT, de la R&D et des Télécoms & Médias.Rejoindre ALTEN MAROC c’est bénéficier :· Des parcours professionnels diversifiés avec des opportunités de carrière, une mobilité interne, sectorielle, géographique et métiers.· Des formations certifiantes et diplômantes.· Des événements réguliers pour combiner bien être et performance.", Organisation Besoin de réflexion Respect des règles Recherche de nouveauté 
12,ALTEN Maroc,Consultant Chargé d'Affaires,Parc Fès Shore Parc- Route sidi Hrazem - Fès - Maroc,"Poste :Le chargé d'affaires aura comme principales missions :Conception 3D sous CATIA V5/V6 ;Mise en plan 2D et gammes de fabrication ;Connaissances des techniques d’usinage ;Connaissances en CAO/DAO (Catia, Isodraw).", Publication : du 14/03/2024 au 14/05/2024 , Rabat (Maroc) ,1, Méthodes / Process / Industrialisation - Production / Qualité / Sécurité / Maintenance - Secteur Automobile / Motos / Cycles ,Méthodes / Process / Industrialisation,De 1 à 3 ans, Bac +3 Minimum - Ecole d'ingénieur - Université , CDI ,"Profil recherché :Formation et Expérience :Diplôme : Bac +3/+5 en Génie Mécanique ou équivalent ;Expérience : 1 an minimum, optimalement en conception sur le secteur automobile...Compétences requises :Connaissances techniques en Ferroviaire – Matériel Roulant ;Expérience en rédaction de documents techniques ;Maitrise de la langue Anglaise et française (Niveau B2+) ;Management de projet c’est un atout....","Entreprise :ALTEN DELIVERY CENTER MAROC, Filiale du leader mondial de l’ingénierie et du conseil en technologie créé en 2008 et présent à Fès, Rabat, Tétouan et Casablanca, compte aujourd’hui plus de 2300 consultants et vise un centre d’excellence de 3100 consultants ALTENiens en fin 2024. Avec plus de 90 recrutements par mois, ALTEN Maroc est désormais un acteur majeur de l’insertion professionnelle des ingénieurs. Nous accompagnons nos clients, leaders de l’Industrie dans leurs stratégies de développement dans les domaines de l’automobile, du ferroviaire, de l’IT, de la R&D et des Télécoms & Médias.Rejoindre ALTEN MAROC c’est bénéficier :· Des parcours professionnels diversifiés avec des opportunités de carrière, une mobilité interne, sectorielle, géographique et métiers.· Des formations certifiantes et diplômantes.· Des événements réguliers pour combiner bien être et performance.", Organisation Besoin de réflexion Respect des règles Recherche de nouveauté 
