,Societés,Postes,Adresses,Details de poste,Date de publication,Location,Postes proposés,Secteur d'activité,Fonctions,Expérience requise,Niveau d’étude demandé,Type de contrat proposé,Profil recherché,Decsription d'entreprise,Traits de personnalité
0,CROUZET,Technicien Maintenance Automaticien Senior ,16 z.i. Sidi Maârouf Hay sidi maarouf 1,"Poste :
En tant que Technicien Maintenance Automaticien, vous aurez les missions suivantes : 
Sécurité : 
Proposer des améliorations en termes de sécurité (Biens/Personnes) ;
Connaitre et appliquer les consignes et règles de sécurité dans son périmètre ;
Exercer son devoir d’alerte sur tout risque sécurité potentiel, et pas uniquement sur son périmètre.
Environnement : 
Respecter les consignes et règles relatives aux normes et standards environnement.(déchets maintenance, produits chimiques) ;
Exercer son devoir d’alerte sur tout risque environnement potentiel et pas uniquement sur son périmètre ;
Respecter les initiatives proposées par le N+1 permettant l’optimisation et la gestion des déchets et tout élément ayant un impact sur l'environnement.
Méthode : 
Participer à l’installation, aux essais et à la mise au point des équipements nouveaux et transférés des autres sites Crouzet.
Maintenance : 
Assurer la maintenance curative des bancs de contrôle et de l’automatisme des équipements de production ;
Appliquer le plan de maintenance préventive des bancs de contrôle et de l’automatisme des équipements de production ;
Faire des modifications et des améliorations de l’automatisme des équipements de production ;
Concevoir, réaliser et mettre en service des programmes en automatisme dans le cadre des améliorations processus ;
Proposer des améliorations du dossier de maintenance préventive auprès de son manager ;
Saisie des bons de travaux préventive et curative à l’aide de l’outil GMAO ;
Déclarer les pièces de rechange manquantes ou utilisées sur l’outil GMAO ;
Effectuer des inventaires partiels et réguliers pour maintenir à jour la base de données GMAO ;
Participer avec le N+1 à l’archivage des dossiers techniques constructeur.
Amélioration Continue : 
Respecter les 5S après intervention sur les moyens ;
Proposer des améliorations techniques ;
Contribuer à l’optimisation de la consommation des pièces de rechange ;
Participer aux analyses 8D pour la résolution des problèmes qualité ayant pour cause les équipements/machines.
Indicateur de performance : 
Participer à l’amélioration des indicateurs (Fiabilité, Maintenabilité, Disponibilité).
Animation & Coopération : 
Participer à l’AIC Maintenance journalière, en échangeant sur le feed back des actions curatives du J1 ;
Participer à l’AIC Hebdomadaire en préparant une synthèse sur les faits marquants de la S1 ;
Réaliser en toute réactivité les actions définies lors des AIC Maintenance ;
Participer à la montée en compétence des régleurs ;
Participer à la formation des opérateurs (maintenance 1er niveau).
A autorité pour :
Interdire à un opérateur des actions non conformes au dossier technique en informant le manager fabrication ;
Arrêter la production en cas de risque Sécurité/Environnement ;
l’autorité pour le redémarrage des moyens avec l’accord du manager ; 
Arrêter les moyens devenus non conformes en informant son manager.  ",Publication : du 05/03/2024 au 21/04/2024 , Casablanca (Maroc), 1, Aéronautique / Spatial - Automobile / Motos / Cycles, Production / Qualité / Sécurité / Maintenance, De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Depuis 1921, Crouzet conçoit, fabrique et fournit des dispositifs d'automatisation et de contrôle efficaces pour une large gamme d'applications. L’entreprise se positionne sur le marché de l'aéronautique et de la défense, et sur de nombreux marchés d'équipement industriel, avec une prédilection pour des applications telles que le contrôle d'accès, le ferroviaire, le nucléaire et les vannes industrielles.
La gamme de produits Crouzet comprend des dispositifs d'automatisation et de contrôle standard et spécialisés, du contrôle de mouvement, des interrupteurs et des capteurs de position, des équipements de cockpit et des solutions de protection électrique.
Crouzet a depuis toujours à cœur d’impliquer ses clients dans le développement de produits adaptés, en vue de solutions entièrement personnalisées.",Organisation Besoin d'objectivité Ténacité Rationalisme Respect des règles
1,CROUZET,Référent Infrastructures IT ,16 z.i. Sidi Maârouf Hay sidi maarouf 1,"Poste :
Gérer le parc PC et les comptes et mots de passe utilisateurs,
Gérer les accessoires PC, et tenir l’inventaire à jour.
Créer les modèles de PC (configuration système et installation des applications),
Traiter les demandes et les problèmes des utilisateurs, résoudre les incidents avec les outils de diagnostics fournis (logs Firewall, logs réseaux, log proxy etc..),
Gérer la flotte des téléphones mobiles, et en assurer le reporting mensuel associé,
Interagir avec les équipes IT Solutions et IT Operations France, US et Chine pour coordonner des actions de résolution ou de déploiement.
Administrer la partie distribution du réseau informatique local.
Modifier des paramètres sur les serveurs (droits d’accès aux fichiers partagés, redémarrage de services, de serveurs)
Coordonner les opérations IT lors de coupures programmées de l’électricité sur les sites de Casablanca
Assurer la conformité du parc informatique industrielle par rapport aux règles de sécurité Informatique
Créer les comptes des partenaires extérieurs sur le bastion de sécurité.
Communiquer (en Anglais) avec le référant CyberSécurité sur toutes les alertes identifiées et appliquer les règles Cyber du groupe Crouzet dans toutes les actions menées (ITSM, Inventaires, Documentations techniques)
Participer aux réunions de coordinations régulières",Publication : du 05/03/2024 au 21/04/2024 , Casablanca (Maroc), 1, Aéronautique / Spatial - Informatique," Informatique / Electronique , Télécoms / Réseaux", De 1 à 3 ans, Bac +3, CDI - Télétravail ,non spécifié,"Entreprise :
Depuis 1921, Crouzet conçoit, fabrique et fournit des dispositifs d'automatisation et de contrôle efficaces pour une large gamme d'applications. L’entreprise se positionne sur le marché de l'aéronautique et de la défense, et sur de nombreux marchés d'équipement industriel, avec une prédilection pour des applications telles que le contrôle d'accès, le ferroviaire, le nucléaire et les vannes industrielles.
La gamme de produits Crouzet comprend des dispositifs d'automatisation et de contrôle standard et spécialisés, du contrôle de mouvement, des interrupteurs et des capteurs de position, des équipements de cockpit et des solutions de protection électrique.
Crouzet a depuis toujours à cœur d’impliquer ses clients dans le développement de produits adaptés, en vue de solutions entièrement personnalisées.",Implication au travail Besoin d'autonomie Besoin de réflexion Ambition Recherche de nouveauté
2,CROUZET,Ingénieur Qualité ,16 z.i. Sidi Maârouf Hay sidi maarouf 1,"Poste :
Projet Qualité :
Participer à l’élaboration et le suivi de la feuille de route qualité ;
Animer en collaboration avec les différents chefs projet et pilotes d’action identifiés dans la feuille de route qualité les avancements des projets qualité et remonter les indicateurs associées et tout éventuel risque de non atteinte d’objectif ;
Suivre et analyser les KPI’s de son porte feuille projet (Performance & Avancement plan d’action moyen/long terme) ;
Piloter les surveillances et les audits de pérennisation de projet qualité ;
Piloter les modifications visant l’amélioration qualité process/produit selon les standards interne ;
Qualifier les pièces, produits ou process en vie série dans le cadre des modification produits/process ;
Représenter l’équipe qualité dans le cadre des projets de lancement nouveaux produits et/ou nouvelles lignes ;
Réaliser des audits internes qualité.
Amélioration Continue :
Initialiser et piloter des projets d’amélioration de la performance globale qualité en utilisant les outils les plus appropriés ;
Proposer des idées et projets d’amélioration.
Indicateurs de Performance : 
S’approprier tous les indicateurs de performance qualité projet (qualité, délai, coût) ainsi que les impacts projets sur les indicateurs clés de l'entreprise en particulier (FFR, CNQ,….) ;
Piloter/Participer aux analyses des causes de non atteinte des objectifs et contribuer aux plan d’action.                                   ",Publication : du 05/03/2024 au 21/04/2024 , Casablanca (Maroc), 1, Aéronautique / Spatial - Automobile / Motos / Cycles," Gestion projet / Etudes / R&D , Production / Qualité / Sécurité / Maintenance", De 3 à 5 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Depuis 1921, Crouzet conçoit, fabrique et fournit des dispositifs d'automatisation et de contrôle efficaces pour une large gamme d'applications. L’entreprise se positionne sur le marché de l'aéronautique et de la défense, et sur de nombreux marchés d'équipement industriel, avec une prédilection pour des applications telles que le contrôle d'accès, le ferroviaire, le nucléaire et les vannes industrielles.
La gamme de produits Crouzet comprend des dispositifs d'automatisation et de contrôle standard et spécialisés, du contrôle de mouvement, des interrupteurs et des capteurs de position, des équipements de cockpit et des solutions de protection électrique.
Crouzet a depuis toujours à cœur d’impliquer ses clients dans le développement de produits adaptés, en vue de solutions entièrement personnalisées.",Organisation Besoin d'objectivité Ténacité Rationalisme Respect des règles
3,INNOVX,Digital Project Manager ,Casablanca,"Poste :
En tant que Digital Project Manager au sein de la Direction Brands & Communication, vous assurez le suivi opérationnel digital en interne et externe.
Vous accompagnerez également la partie média et évènementiel pour s’assurer du bon fonctionnement des projets. 
  Responsabilités :
Mettre en action le plan de communication et s'assurer de la bonne réalisation des outils de communication définis;
Organiser, animer, et gérer les contenus diffusés sur le site web;
Accompagner la partie évènementielle dans l’aspect digital pour s’assurer des bons messages diffusés;
Assurer l'optimisation du SEO;
Assurer le suivi et la mise en place de la partie médias digital pour s’assurer une visibilité sur les réseaux sociaux;
Réaliser des veilles sur le secteur ou les pratiques digitales. 
   
 ",Publication : du 05/03/2024 au 05/05/2024 , Casablanca (Maroc), 1, Communication / Evénementiel, Communication / Publicité / RP, De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
INNOVX est un groupe multi-sectoriel qui conçoit, développe et déploie à échelle industrielle des entreprises et des écosystèmes technologiques innovants, performants et à fort impact environnemental et sociétal.
Filiale de l'Université Mohammed VI Polytechnique (UM6P), INNOVX a pour ambition de répondre aux enjeux de la durabilité et de contribuer au leadership technologique du Maroc.
INNOVX opère dans des secteurs stratégiques essentiels à la souveraineté alimentaire, la transition énergétique et numérique, tels que l'Agriculture & l’eau, l'innovation Sociale, l'Énergie, la Chimie, et le Digital.
Pour plus d'informations, visitez notre site web : www.innovx.ma",Recherche de nouveauté Extraversion Ambition Flexibilité
4,ECA,"Chef de projet IA, Intelligence Artificielle ","138, bd d'Anfa, 4°étage","Poste avec Management
Publiée aujourd'hui sur ReKrute.com - Postulez avant le 14/04/2024
J'aime Suivre
Entreprise :
Le Groupe FINARE s’est construit sur des expertises fortes permettant aux structures du Groupe d’intervenir sur l’ensemble de la chaîne de valeur notamment dans les domaines de l’assurance et de l’épargne.
Le Groupe FINARE en quelques mots c’est :
- 1200 collaborateurs présents dans 3 pays : France, Luxembourg, Maroc ;
- 3 pôles d’activités : assurance, gestion de patrimoine, services ; stratégie digitale
- 115 M€ de chiffres d’affaires en 2022.
Acteur de référence dans ses domaines d’expertise, le Groupe imagine des prestations innovantes et anticipe les évolutions du marché.
Nous réunissons des compétences humaines et des expertises métiers pour optimiser les performances des entreprises qui nous font confiance.
Nos valeurs : Engagement, Performance, Innovation, Capital Humain. Si vous êtes sensible à ces valeurs, alors nous sommes surement faits pour nous entendre !
Dans le cadre de la poursuite de notre croissance, nous recrutons un chef de projet IA, Intelligence Artificielle à Casablanca.
  Poste :
Rejoindre le Groupe FINARE, c'est dire oui à une expérience qui a du sens, celle où les rencontres et les missions vous poussent à grandir chaque jour au sein d’une équipe engagée et dynamique.
Dans le cadre de projets innovants, vous piloterez une équipe IA et apporterez votre expertise de pilotage de projets pour organiser les travaux,, développer et déployer différents systèmes d’IA, en fonction des besoins métiers et des opportunités d’innovations. Vos missions consisteront à :
Coordonner la mise en œuvre des projets IA
planifier et organiser les projets IA.
Établir le planning (agile, waterfall ou hybride suivant le cas), définir les ressources, le découpage du projet ainsi que le budget détaillé.
Coordonner le travail des différentes équipes
Mettre en œuvre et suivre des indicateurs de pilotage du projet (KPI couts, délais, …)
Gérer la recette fonctionnelle (tests utilisateurs).
Accompagner et effectuer le suivi fonctionnel des projets IA
Signaler les dysfonctionnements et suggérer les évolutions.
Documenter les projets.
Faire évoluer les fonctionnalités.
Accompagner les utilisateurs lors des mises en service.",Publication : du 05/03/2024 au 14/04/2024 , Casablanca (Maroc), 1, Informatique, Informatique / Electronique, De 3 à 5 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Le Groupe FINARE s’est construit sur des expertises fortes permettant aux structures du Groupe d’intervenir sur l’ensemble de la chaîne de valeur notamment dans les domaines de l’assurance et de l’épargne.
Le Groupe FINARE en quelques mots c’est :
- 1200 collaborateurs présents dans 3 pays : France, Luxembourg, Maroc ;
- 3 pôles d’activités : assurance, gestion de patrimoine, services ; stratégie digitale
- 115 M€ de chiffres d’affaires en 2022.
Acteur de référence dans ses domaines d’expertise, le Groupe imagine des prestations innovantes et anticipe les évolutions du marché.
Nous réunissons des compétences humaines et des expertises métiers pour optimiser les performances des entreprises qui nous font confiance.
Nos valeurs : Engagement, Performance, Innovation, Capital Humain. Si vous êtes sensible à ces valeurs, alors nous sommes surement faits pour nous entendre !
Dans le cadre de la poursuite de notre croissance, nous recrutons un chef de projet IA, Intelligence Artificielle à Casablanca.
 ",Implication au travail Besoin d'autonomie Besoin de réflexion Ambition Recherche de nouveauté
5,SOFRECOM,Expert Linux (H/F) ,"Batiment B0, 2 éme Etage, Technopolis, 11100, Sale Al Jadida, Rabat-Salé-Zemmour-Zaër, Maroc",,Publication : du 05/03/2024 au 05/05/2024 , Technopolis (Maroc), 1, Informatique," Informatique / Electronique , Multimédia / Internet", De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Sofrecom, filiale d'Orange, a développé depuis plus de 50 ans un savoir-faire unique dans les métiers de l’opérateur, qui en fait aujourd’hui l’un des leaders mondiaux du conseil et de l’ingénierie. Son expérience des marchés matures et des économies émergentes, conjuguée à sa solide connaissance des évolutions structurantes du marché des télécommunications en font un partenaire incontournable pour les opérateurs, gouvernements et investisseurs internationaux.
Sofrecom est une entreprise riche de sa diversité, avec plus de 1400 consultants et experts répartis dans 11 implantations à travers le monde et issus de plus de 30 nationalités.
Pour plus d’information sur le Groupe Sofrecom : www.sofrecom.com

Afin de renforcer ses équipes au Maroc, Sofrecom Services Maroc recrute un(e) Ingénieur systéme windows 
Toute donnée à caractère personnel que vous partagez avec Sofrecom Services Maroc est traitée conformément aux dispositions de la loi n° 09-08 relative à la protection des données à caractère personnel.
Afin d’exercer vos droits d’accès, de rectification ou d’oppositions, merci de contacter la DRH sur le 05 37 27 99 00.",Besoin d'autonomie Besoin de réflexion Ambition Implication au travail Recherche de nouveauté
6,YAZAKI,Industrial Engineer ( KSK) ,Rue de Tanger,"Poste :
Product complexity analysis
Product creticity analysis (quality perspective)
Line capacity calculation
Kits breakdown definition & visualization
Process preparation based :
On the PIR & taping Ratio KPI standard
SQCDPE tool
Equipment definition
Equipment ergonomic improvement based on ergonomic factor
Time measurement politic definition (diversity, batch, KSK)
Process flexibility against engineering changes, customer fluctuation ..
Process capability follow up ( run) & improvement by insuring GUM achievement (Target productivity achievement = 100%)
Process performance improvement (Target productivity achievement) > 100% by :
Video analysis & standard documents preparation
Yamazumi chart preparation & bottleneck definition
Muda elimination
Kaizen proposal( with low cost)
Balancing activity
Flow optimization by using Monojo tool
Productivity & DPM monitoring ",Publication : du 05/03/2024 au 21/04/2024 , Kénitra (Maroc), 3, Automobile / Motos / Cycles, Méthodes / Process / Industrialisation, Débutant, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
YAZAKI’s timeline of success dates back to 1929 when Sadami YAZAKI began selling wiring harnesses for automobiles.
As a truly global company deeply rooted in Japanese cultural traditions and values, YAZAKI strives to be a reliable partner to its customers as well as a promoter of environmental sustainability throughout the world.
 
We are especially proud to be the world's largest producer of wiring harnesses and at the same time offering environmental systems, with emphasis on energy-related equipment.
As part of Yazaki activities growth in Morocco , we are hiring currently several positions !",Organisation Besoin de réflexion Respect des règles Recherche de nouveauté
7,COMECA,Technico-Commercial (H/F) ,"Route Secondaire 315- Hay Anasr Lahraouyin, Province Mediouna","Poste :
Dans le cadre de notre développement au Maroc, nous recrutons un Technico-Commercial (H/F) qui sera en charge des missions suivantes :
Assurer l’interface commerciale téléphonique pour toutes les demandes de nos clients.
Réaliser tout type d’offre de prix pour l’activité des affaires régionales et nationales.
Concevoir les dossiers d’offres techniques.
Rédiger les offres suivant le guide de chiffrage.
Gérer les projets en amont et préparer les dossiers d’appels d’offres et d’affaires acquises.
Assurer la formalisation des informations externes et internes auprès des DRD et RC.",Publication : du 05/03/2024 au 05/05/2024 , Casablanca (Maroc), 4, Conseil / Etudes - Electricité," Electricité , Gestion projet / Etudes / R&D", De 3 à 5 ans, Bac +3, CDI - Télétravail ,non spécifié,"Entreprise :
COMECA est une Entreprise de Taille Intermédiaire, (150 Millions de CA, 1 250 personnes – 20 sites industriels en France et 9 filiales  hors de France (Royaume-Uni, Maroc, Algérie, Indonésie, Malaisie, Émirats arabes unis, Corée, Australie)), spécialiste  de la distribution et la gestion de l’énergie et des services associés, acteur majeur des marchés de l’industrie, de l’énergie, des infrastructures, du bâtiment tertiaire et du transport.
Chez COMECA, en s'appuyant sur la connaissance de vos compétences et aspirations, vous serez encouragé à être l'acteur de votre parcours professionnel. COMECA vous propose de développer votre savoir-faire et d'acquérir de nouvelles compétences scientifiques et techniques à travers des projets multi-disciplinaires d'envergure internationale dont les enjeux industriels sont considérables.",Travail en équipe Ambition Flexibilité Implication au travail Organisation
8,DELOITTE,Consultant junior dans les métiers de la Trésorerie (H/F) ,"Immeuble Seven Square Angle bd Sidi Abderrahmane et, Rue Al Banafsaj, Casablanca 20230, Maroc","Poste :
Vous serez rattaché(e) au département Treasury Advisory qui regroupe l'expertise de Deloitte en matière de gestion de trésorerie et de gestion des risques financiers. Ce département intervient pour conseiller des grandes entreprises dans l’organisation de leur fonction trésorerie, les accompagner dans le déploiement d’outils de trésorerie, apporter une vision des bonnes pratiques en matière de contrôle interne, contrôle des risques ou encore partager son expertise sur la comptabilisation des instruments financiers.
Vous serez formé à nos métiers et développerez votre expertise dans le cadre de missions de conseil ou d'audit des opérations initiées par les directions des financements et de la trésorerie de grands groupes français. Vous serez en contact non seulement avec les Directions de trésorerie mais également avec d'autres parties prenantes de l'entreprise : comptabilité, contrôle de gestion, audit interne, filiales, Direction des Systèmes d’information.
En pratique, vous interviendrez principalement sur des missions touchant à la gestion des instruments financiers (change, taux, commodities) et aux activités de cash management (cash pooling, payment factory, BFR, prévisions de trésorerie) de de paiements (lutte contre la fraude, paiements et contrôle interne ; SI paiements) pour, notamment :
•  Superviser l'audit des instruments financiers de nos clients ; • Améliorer la qualité de la communication financière en intégrant les exigences réglementaires (IFRS, AMF…) et les attentes du marché en termes de Risk Management ;
• Analyser des opérations financières complexes : titrisation, restructuration de dettes, couvertures, montages financiers ;
• Améliorer les processus et le dispositif de sécurisation des opérations ;
• Améliorer la performance, les indicateurs de pilotage et de reporting ;
• Accompagner nos clients dans l'organisation et la transformation de leurs activités de trésorerie/financement et gestion des risques ;
• Adapter le système d'information et mettre en oeuvre les solutions (progiciels, cash pooling, moyens de paiements).
Vous serez formé(e) à nos méthodologies et aurez l'opportunité de travailler au sein d'équipes pluridisciplinaires et internationales.
Votre parcours : En rejoignant Deloitte, vous aurez l'opportunité de développer un set de compétences, partagées avec notre réseau international, et structurées autour des dimensions suivantes : leadership, métier et spécialité. Grâce aux missions variées auxquelles vous participerez et au programme de formations proposé, vous pourrez renforcer progressivement ces compétences, en acquérir de nouvelles et progresser ainsi au sein de notre firme.",Publication : du 05/03/2024 au 05/05/2024 , Casablanca (Maroc), 5, Comptabilité / Audit, Audit / Conseil, Débutant - Moins de 1 an, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Membre de Deloitte Touche Tohmatsu Limited (264 000 collaborateurs dans le monde), Deloitte SA mobilise en France 11 300 collaborateurs au service de clients de toutes tailles et de tous secteurs, couvrant une palette d'offres très large : audit et risk services, consulting, financial advisory, juridique & fiscal et expertise comptable.

Deloitte Extended Services est une société à responsabilité limitée de droit marocain basée à Casablanca. Filiale à 100% de Deloitte France, elle constitue un centre de responsabilité Nearshore à part entière, rattaché au service des différents métiers.",Rationalisme Flexibilité Besoin de réflexion Organisation
9,ECA,Développeur Laravel / Vue JS ,"138, bd d'Anfa, 4°étage","Poste :
Dans le cadre du développement de nos projets , nous cherchons un candidat curieux et qui aime relever des challenges, vous allez intégrer une équipe technique de 30 personnes et vos missions principales seront :
- Développement de nos plateforme basée sur framework laravel et Vue JS;
- Participation à la conception technique et fonctionnelle de nos projets;
- Réalisation / développement de modules;
- Préparation des spécifications techniques;
- Développement de nouvelles fonctionnalités",Publication : du 05/03/2024 au 19/04/2024 , Casablanca (Maroc), 1, Informatique, Informatique / Electronique, De 1 à 3 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Weedo It, Agence de marketing digital spécialisée à la performance, développe des solutions innovantes pour accompagner ses clients tout au long de leur stratégie digitale.
Créée en 2004, la mission de Weedo It est d'optimiser les performances de leurs partenaires tout en établissant une relation privilégiée avec chaque client et affilié pour maintenir un partenariat solide et durable en France et à l’International.
Weedo It se positionne comme l'un des principaux acteurs digitaux grâce à un réseau de plusieurs milliers d'éditeurs et la gestion de plus de 500 clients.
Weedo It possède quatre pôles d'expertise :
- My Affil : ma plateforme d'affiliation
- My Coreg : le booster de Data
- DataDeal : monétisation Data
- Leadmarket : Lead assurance en self-service",Recherche de nouveauté Besoin de réflexion Besoin d'autonomie Implication au travail
