,Poste,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
0,  Enseignant Des écoles,non spécifié,7,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1,  Enseignant Des écoles,non spécifié,6,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
2,  Sertisseur En Sertie Invisible,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
3,"  22 Agents De Sécurité (8h Et 12h) / 4 Opérateurs Caméra, Et 4 Fouilleuses",non spécifié,30,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
4,  ENSEIGNANTS D'ENSEIGNEMENT PRIVE,non spécifié,8,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
5,  Technicien Spécialisé En Gestion Des Entreprises- Fille-,non spécifié,3,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
6,  Employé De Libre Service,non spécifié,20,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
7,  Enseignant ( Français),non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
8,  Technicien électronicien,non spécifié,2,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
9,  Gouvernante,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
10,  Nous Cherchons Des Techniciens En Commerce Ou Logistique Pour Une Entreprise A Casablanca.,non spécifié,5,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
11,  Enseignant Du Maths,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
12,  Enseignant Du Français Primaire,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
13,  Enseignant D'anglais,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
14,  Enseignant Des écoles,non spécifié,6,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
15,  Technicien En Génie Civile,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
16,  Commercial/Commerciale,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
17,  Manager D'équipe,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
18,  Employé De Libre Service,non spécifié,30,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
19,  CAISSIERS,non spécifié,2,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
20,   Comptable,non spécifié,2,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
21,   Vendeur/Vendeuse,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
22,  Enseignant Des écoles,non spécifié,9,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
23,  Chaudronnier,non spécifié,2,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
24,  02 Infirmières,non spécifié,2,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
25,  Technico-Commercial,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
26,  AGENTS DE QUALITE,non spécifié,20,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
27,  Technicien En Informatique,non spécifié,2,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
28,  Electromécanicien Maintenance Et Installation Machine Industrielle,non spécifié,1,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
29,  Enseignant Des écoles,non spécifié,14,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
30,   Technicien Topographe,non spécifié,2,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
31,  Opérateur De Fabrication En Alimentation Animale,non spécifié,10,05/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
32,  Concepteur Tuyauterie Senior,non spécifié,10,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
33,  Assistante Administrative,non spécifié,2,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
34,  Agent Développement,non spécifié,8,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
35,   Opérateur De Saisie,non spécifié,100,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
36,  Technicien Projeteur,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
37,  Conducteurs De Marchines Industrielles,non spécifié,5,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
38,  Téléconseiller,non spécifié,1000,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
39,  Chargé De Clientèle,non spécifié,40,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
40,  Chargés De Clientèle,non spécifié,80,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
41,  Chargé De Clientèle,non spécifié,80,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
42,  Opérateur Coulage/Émaillage Céramique Sanitaire عامل صب/صقل سيراميك,non spécifié,20,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
43,non spécifié,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
44,  Assistante Comptable,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
45,  Serveur,non spécifié,3,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
46,  Réceptionniste,non spécifié,2,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
47,  Chef De Salle,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
48,  Résident Manager,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
49,  Agent Technique,non spécifié,2,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
50,  GOUVERNANTE,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
51,  Femme De Chambre,non spécifié,3,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
52,  Econome,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
53,  Chef De Cuisine Responsable,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
54,  Agent De Sécurité,non spécifié,2,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
55,  Plongeur,non spécifié,2,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
56,  Commis/chef De Partie,non spécifié,4,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
57,  Technicien Génie Civil,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
58,   Téléconseiller,non spécifié,20,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
59,  Éducatrice D'enfants En Bas âge,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
60,   Employé De Service Contentieux,non spécifié,6,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
61,  Technicien De Maintenance Informatique,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
62,"  Opérateurs / Opératrices En Fabrication , Assemblage Des Câbles Automobiles",non spécifié,100,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
63,  Technicien En Maintenance Industrielle,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
64,  Assistant Social,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
65,  Gouvernante,non spécifié,1,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
66,  Opérateurs / Opératrices De Câblage Automobile.,non spécifié,600,04/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
67,"  Technico-commercial En Industrie électrique Bac+3, Disponible Et Mobile Permis B Ou Motorisé Expérience De Plus De 12 Mois",non spécifié,2,02/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
68,  Chargé De Clientèle,non spécifié,100,02/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
69,  EMPLOYE DE BANQUE,non spécifié,3,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
70,   Dessinateur Du Bâtiment,non spécifié,1,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
71,  Agent Bureau D’études CAO,non spécifié,100,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
72,  Opérateurs Et Opératrices De Câblage Automobile,non spécifié,150,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
73,  Chargé De Clientèle,non spécifié,100,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
74,  Chargé De Clientèle,non spécifié,50,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
75,  Chargé De Clientèle,non spécifié,100,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
76,  Chargé De Clientèle,non spécifié,80,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
77,  Chargé De Clientèle,non spécifié,80,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
78,  Chargé De Clientèle.,non spécifié,40,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
79,   Employé Polyvalent De Restauration,non spécifié,49,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
80,   Electricien De Maintenance,non spécifié,5,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
81,  Qualiticien Industriel,non spécifié,1,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
82,   Aide Comptable,non spécifié,1,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
83,  Agent De Vente Et De Caisse,non spécifié,4,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
84,  Représentant Commercial Des Produits Pharmaceutiques,non spécifié,1,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
85,  Secrétaire Médicale,non spécifié,1,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
86,  Agent De Sécurité,non spécifié,20,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
87,  OPERATEUR TELE SURVEILLANCE,non spécifié,8,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
88,non spécifié,non spécifié,2,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
89,  OPERATEURS DE CABLAGE,non spécifié,20,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
90,   Serveur,non spécifié,2,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
91,   Barman,non spécifié,2,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
92,non spécifié,non spécifié,3,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
93,  Aide Pharmacien,non spécifié,2,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
94,  AGENT COMMERCIAL,non spécifié,4,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
95,  TECHNICIEN LABO,non spécifié,1,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
96,  MAITRISE AUTOCAD MAITRISE OUTIL 3D /ARCHICADE/ 3D MAX,non spécifié,3,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
97,  Secrétaire De Direction Chez Un Notaire,non spécifié,1,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
98,  OUVRIER POLYVALENT,non spécifié,75,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
99,  EDUCATEUR(ICE)S PRÉSCOLAIRE,non spécifié,40,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
100,  Chargé De Clientèle,non spécifié,90,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
101,   Opérateur Sur Machines Automatiques En Production électrique Ou électronique.,non spécifié,25,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
102,   Opérateur Sur Machines Automatiques En Production électrique Ou électronique.,non spécifié,3,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
103,  Infographiste,non spécifié,2,01/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
104,  Une Réceptionniste,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
105,  Cariste,non spécifié,15,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
106,  Cuisinière,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
107,  RECEPTIONNISTE,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
108,  Chargé De Clientèle,non spécifié,80,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
109,  Magasinier D'entrepôt,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
110,  TECHNICIEN SPÉCIALISE GROS ŒUVRES BÂTIMENTS,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
111,  Commercial/Commerciale,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
112,  ENSEIGNANTE BILINGUE,non spécifié,1,29/02/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
