,Societés,Postes,Adresses,Details de poste,Date de publication,Location,Postes proposés,Secteur d'activité,Fonctions,Expérience requise,Niveau d’étude demandé,Type de contrat proposé,Profil recherché,Decsription d'entreprise,Traits de personnalité
0,CAPITAL,Trader Junior ,,"Poste :
Dans le cadre de notre développement, nous recrutons un Trader Junior.
vos missions principales seront les suivantes :
Collecter et transmettre les ordres d’achat et de vente pour exécution par les négociateurs,
Réception des ordres de la clientèle, Information de la clientèle sur les conditions immédiates du marché,
Suivre les valeurs boursières, les indices de référence,
Analyser les réalisations et les états de synthèse des sociétés cotées.
 ",Publication : du 20/02/2024 au 20/04/2024 , Casablanca (Maroc), 1, Banque / Finance," Banque (métiers de la) , Gestion / Comptabilité / Finance", De 1 à 3 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
CAPITAL TRUST est une banque de conseil et d’investissement indépendante leader de la place, proposant une gamme de services financiers intégrés allant des activités de placement et de gestion aux activités de conseil et d’investissement.
CAPITAL TRUST SECURITIES, filiale du groupe CAPITAL TRUST, est une société de bourse agréée par le Ministère des Finances opérant sur le marché financier marocain. Elle est spécialisée sur le segment de l’intermédiation et de placement des différents instruments financiers (Actions et Obligations).
 ",Implication au travail Besoin de réflexion Besoin d'objectivité Travail en équipe Respect des règles
1,TERSEA,Contrôleur de gestion Junior H/F ,"Bd Abdelmoumen, Casablanca 20250","Poste :
Participer à la préparation du budget & Forecast .
Participer au travail de clôture mensuel dans le respect des délais fixés par le Groupe.
Analyser des écarts entre les réalisations des objectifs .
Préparer, consolider et synthétiser l’ensemble des éléments du contrôle de gestion .
Contribuer à l’amélioration des outils de pilotage",Publication : du 20/02/2024 au 20/04/2024 , Casablanca (Maroc), 1, Centre d'appel - Comptabilité / Audit," Call Centers (métiers de) , Gestion / Comptabilité / Finance", De 1 à 3 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Fort de ses 15 années d’expertise dans le domaine de l’externalisation de la relation client et des métiers IT, le Groupe Tersea Compte aujourdhui 7 sites répartis entre 3 pays:  La France, Le Maroc et le Sénégal.
Grace à un parcours riche en croissance et en success stories, nous avons su grâce à notre équipe d’experts nous positionner comme des partenaires fiables et incontournables pour nos clients au fil des années.
Notre devise : Le surpassement de soi tout en offrant à nos clients partenaires les outils de pointe et l’accompagnement opérationnel hautement qualifiés nécessaire au développement de leur marque, la fidélisation de leurs clients existants et l’élargissement de leur portefeuille.
Tersea en quelques mots c’est :
1250 employés répartis entre 3 pays, dont 500 au Maroc, solidement formés et accompagnés pour offrir une expérience client hors du commun.
Des produits diversifiés et multi-langues avec un volume de contact client qui avoisine les 2 millions par an
Une politique RH et managériale qui fait de la formation, l’accompagnement et la qualité de l’environnement dans lequel évolue notre richesse humaine sa priorité première
80% de notre staff d’encadrement émane de notre vivier interne
Un emplacement idéal au cœur de la ville blanche offrant une accessibilité facile et rapide à nos employés quelle que soit leur zone d’habitation
Des challenges et animations diversifiés tout au long de l’année. Faire partie de Tersea, ça se fête tous les jours grâce à notre équipe de communication qui ne tarit pas d’ingéniosité pour  remercier au quotidien nos employés pour leur fidélité et dévouement.
Une politique de rémunération et de promotion qui récompense le mérite, l’assiduité et l’ancienneté.
Une opportunité de carrière pour chaque profil et aspiration grâce à la diversité de nos projets et des secteurs que nous représentons (Les assurances, la grande distribution, l’univers des jeux en ligne, l’automobile, le e-commerce, le service après-vente pour divers produits…etc.)
Nous ne le dirons jamais assez 
Chez Tersea, NOUS DECROCHONS BIEN PLUS QUE DES APPELS !",Respect des règles Extraversion Distance émotionnelle Rationalisme Conventionnel Besoin d'objectivité Flexibilité Organisation
2,SFM,Gestionnaire de Paie H/F – Casablanca ,,"Poste :
Un Gestionnaire de Paie doit assurer une gestion rigoureuse, conforme et efficiente de la paie pour les clients, tout en offrant un soutien et un conseil personnalisé pour répondre à leurs besoins spécifiques en matière de rémunération et de législation sociale.
A ce titre vos missions seront les suivantes :
- Contrôle et vérification des données transmises pour chaque client du cabinet.
- Intégrer les informations transmises par le client dans les systèmes de gestion de la paie pour générer les états de paie conformes à la réglementation en vigueur.
- Application les différentes règles de calcul des salaires conformément aux spécificités de chaque entreprise cliente et aux instructions transmises par le client.
- Générer les états de paie, en veillant à l'exactitude des données et à la conformité aux normes légales et aux accords collectifs.
- Élaborer et transmettre les déclarations sociales obligatoires en respectant les échéances légales et en garantissant leur exactitude.
- Gestion des demandes administratives telles que (Attestation de travail/ salaire, domiciliation de salaire, STC….)
 ",Publication : du 20/02/2024 au 20/04/2024 , Casablanca (Maroc), 1, Comptabilité / Audit," Audit / Conseil , Gestion / Comptabilité / Finance", De 3 à 5 ans, Bac +3, CDI - Télétravail ,non spécifié,"Entreprise :
SFM Experts, Société d’Expertise Comptable, accompagne depuis des décennies les plus grandes entreprises nationales et filiales de multinationales et leur offre en permanence un service proactif et personnalisé.
Dans le cadre de sa croissance, SFM Experts recherche un(e) Gestionnaire de Paie H/F-Casablanca
 ",Organisation Besoin de réflexion Flexibilité Besoin d'objectivité Conventionnel Rationalisme Respect des règles
3,non spécifié,Commercial (H/F) ,,"Poste :
Rattaché à la Direction Commerciale vous serez en charge des taches suivantes:
-prospecter le marché
-présenter les nouveaux produits aux clients / prospects
-relancer les clients à intervalle régulier
-veille concurrentielle
-animer un portefeuille de clients au comptoir et à l'extérieur
-remonter les informations à la D G
-suivre le risque clients",Publication : du 20/02/2024 au 20/04/2024 , Casablanca (Maroc), 2, Distribution," Commercial / Vente / Export , Responsable de Département", De 3 à 5 ans, Bac +4, CDI - Télétravail ,non spécifié,"Entreprise :
UN GRAND GROUPE DE DISTRIBUTION SITUE A CASABLANCA , RECRUTE
                                         DES COMMERCIAUX",Recherche de nouveauté Extraversion Volonté de persuasion Ambition Flexibilité Implication au travail Organisation
4,FOODS,Procurement and Forecasting planner (H/F) ,"9 zone indust Oulad Salah , n° 19",,Publication : du 20/02/2024 au 20/04/2024 , Bouskoura (Maroc), 1, Distribution," Achats / Supply Chain , Gestion / Comptabilité / Finance", De 3 à 5 ans, Bac +4, CDI - Télétravail ,non spécifié,"Entreprise :
Depuis 30 ans, Foods & Goods est un des leader national dans l’importation, la distribution et la construction de marques de produits alimentaires et boissons (alcoolisées et non alcoolisées).
Présent sur toutes les catégories de produits, Foods & Goods veut mettre en avant à tous les niveaux l’excellence de ses marques, de ses équipes et de son savoir-faire.
Ses collaborateurs et son management s’engagent sur les valeurs suivantes : culture du résultat, exigence, professionnalisme, intégrité, passion et esprit d’équipe.
 ",Rationalisme Distance émotionnelle Respect des règles Besoin d'action Besoin d'objectivité Organisation
5,UM6P,Responsable Juridique Senior - Corporate & Governance ,"Lot 660, Hay Moulay Rachid, Ben Guerir 43150","Poste :
RESPONSABLE JURIDIQUE Senior - CORPORATE & GOVERNANCE F/H
Il/Elle a pour mission de suivre et assister les entités du Groupe UM6P sur l’ensemble des aspects de droit des sociétés et des associations.
ACTIVITÉS PRINCIPALES :
Conseil en droit des sociétés et des groupes de sociétés
Conseille en amont sur le choix des formes juridiques et des montages juridiques et la constitution des différentes JV, sociétés en partenariat et fonds d’investissements,
Conseille sur tous les aspects du droit des sociétés et des associations,
Assurer et suivre les constitutions et la vie sociale des sociétés, société en partenariat et d’associations du Groupe UM6P,
Donne son avis sur les différentes problématiques juridiques sur lesquelles il est sollicité,
Réalise différentes études juridiques assure la veille juridique en matière de droit des sociétés et des associations notamment les associations reconnues d’utilité publique,
Participer aux groupes de travail permettant d’intégrer dans les procédures internes les lois et la jurisprudence.
Actes sociaux et secrétariat juridique des entités du Groupe
Assurer le secrétariat des conseils d’administrations des principales entités du Groupe
Assister les secrétaires des conseils des différentes entités du Groupe dans l’organisation des réunions des différents organes de leurs entités respectives,
Assister les secrétaires des conseils des différentes entités du Groupe dans l’organisation des réunions des différents organes de leurs entités respectives et la rédaction des différents procès-verbaux,
Assister les secrétaires des conseils des différentes entités du Groupe dans la tenue et la mise à jour régulière des dossiers administratifs et des registres sociaux et la réalisation des différentes formalités auprès des autorités compétentes,
Assister les secrétaires des conseils des différentes entités du Groupe dans leur relation avec les conseils juridiques externes le cas échéant,
Organiser une base des actes sociaux types,
Préparer et actualiser en permanence les procédures internes en matière de secrétariat juridique
 COMPÉTENCES REQUISES :
Compétences techniques :
?Très bonnes connaissances du droit des sociétés et des associations
?Bonnes connaissances juridiques du domaine d’activité du Groupe UM6P
?La Maîtrise de l’anglais et particulièrement de l’anglais juridique sera un atout considérable
Aptitudes professionnelles :
?Rigueur, organisation et objectivité
?Esprit de synthèse et d’analyse
?Capacités rédactionnelles
?Sens de la communication
?Réactivité et disponibilité
  Esprit d’équipe",Publication : du 20/02/2024 au 20/04/2024 , Benguerir (Maroc), 1, Enseignement / Formation, Administration des ventes / SAV, De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.",Volonté de persuasion Improvisation Rationalisme Implication au travail
6,UM6P,Responsable Senior Propriété Intellectuelle Général ,"Lot 660, Hay Moulay Rachid, Ben Guerir 43150","Poste :
RESPONSABLE SENIOR PROPRIETE INTELLECTUELLE GENERAL F/H
Il/Elle a pour mission de contribuer à la conception et la mise en œuvre de la stratégie du Groupe UM6P en matière de propriété intellectuelle et le support juridique aux activités de l’UM6P notamment l’enseignement, la formation continue et la Recherche & Développement.
 ACTIVITÉS PRINCIPALES : 
Il réalise toutes études et donne tous avis ou conseils en relation avec les activités relevant du Core Business de l’UM6P, notamment :
le Support Juridique des activités de l’Enseignement et de la Formation Continue,
le Support juridique et l’accompagnement des enseignants-chercheurs et départements en charge de la Recherche et des Partenariats de l’UM6P, pour la négociation et la rédaction d’accords en lien avec l’activité de R&D et en conformité avec la politique du Groupe,
le support des entités du Groupe pour la mise en place et la mise en œuvre d’une politique de propriété intellectuelle et la sensibilisation sur les problématiques y afférentes,
le support administratif et la veille réglementaire en relation avec les missions ci-dessus.
 COMPÉTENCES REQUISES : 
Compétences techniques :
?Très bonnes connaissances en droit des contrats,
?Très bonnes connaissances en de la propriété intellectuelle et industrielle,
?Bonnes connaissances juridiques du domaine d’activité du Groupe UM6P
?la maîtrise de l’anglais et particulièrement de l’anglais juridique est un atout pour ce poste
Aptitudes professionnelles : 
?Rigueur et objectivité
?Esprit de synthèse et d’analyse
?Capacités rédactionnelles
?Sens de la communication
?Réactivité et disponibilité
 Esprit d’équipe",Publication : du 20/02/2024 au 20/04/2024 , Benguerir (Maroc), 1, Enseignement / Formation, Administration des ventes / SAV, De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.",Volonté de persuasion Improvisation Rationalisme Implication au travail
7,UM6P,Research Engineer at IWRI (industrial and municipal wastewater treatment and reuse) ,"Lot 660, Hay Moulay Rachid, Ben Guerir 43150","Poste :
Research Engineer at IWRI (industrial and municipal wastewater treatment and reuse)
  Job Description:
The to-be recruited research engineer will be actively involved in several IWRI-led projects on the treatment and reuse of various municipal and industrial effluents, along with the related sampling missions, analysis, reporting, etc.
  Key duties:
Help collecting projects’ related data, perform the data analysis, and prepare reports
Conducting experiments (lab and pilot scales)
recording of data and results linked to the tests/experiments and writing of the analysis report.
Assisting in the proper management of the Lab’s instruments and equipment (operation, maintenance, and regular calibration for quality controls)
Working with the IWRI’s staff for regularly reporting on the projects’ process.
Supporting IWRI’s research and teaching staff in accompanying interns, students, and other laboratory users.
Contributing with the team in disseminating research results in academic journals and workshops.
Working with the Lab’s manager and technician to ensure the implementation of UM6P’s HSE rules.
 ",Publication : du 20/02/2024 au 20/04/2024 , Benguerir (Maroc), 1, Enseignement / Formation, Production / Qualité / Sécurité / Maintenance, De 3 à 5 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.",Besoin d'objectivité Ténacité Organisation Rationalisme Respect des règles
8,UM6P,Ingénieur R&D ,"Lot 660, Hay Moulay Rachid, Ben Guerir 43150","Poste :
Au sein de l’UM6P, le « College of Computing » est un pôle de recherche axé sur le thème de la modélisation mathématique, de la simulation numérique et de l'intelligence artificielle. Le groupe mène plusieurs projets de recherche en collaboration avec ses partenaires industriels au Maroc, ainsi qu'avec un réseau de partenaires académiques internationaux.
  Contexte et mission :
Les méthodes de surveillance de l’intégrité structurelle (SHM : Structural Health Monitoring) à l’aide de capteurs mesurant en temps réel la déformation, l’accélération ou le déplacement d’un ouvrage, sont devenues incontournables pour avoir une bonne représentation, à un instant donné, de l’état du parc d’OA. Ces méthodes sont donc utilisées pour compléter ou remplacer les inspections nécessaires à l’évaluation de l’état de l’ouvrage, détectant parfois des dommages invisibles à l’œil nu (affouillement, rupture d’un câble de précontrainte…).
  Dans ce contexte, l’UM6P recrute un ingénieur R&D ayant pour mission de développer un système d’instrumentation pour un pont routier, constitué principalement d’accéléromètres installés au niveau du tablier, avec pour objectif de mesurer la réponse en temps réel de l’ouvrage soumis à des sollicitations diverses (trafic, vent, séisme…). Les données récoltées doivent être traitées et analysées de manière à détecter des anomalies potentielles dans le comportement de l’ouvrage.
  Les étapes du projet peuvent être résumées dans les points suivants :
Définition et mise en œuvre du système d’instrumentation sur l’ouvrage.
Récolte et traitement des données (accélérations, déformations et déplacements) pour une comparaison avec un modèle numérique de l’ouvrage.
Calibration de l’algorithme de traitement des données à l’aide d’un chargement connu.
Mise en place d’un système d’alerte en temps réel pour alerter d’une éventuelle surcharge ou de la détection d’un changement dans le comportement structurel.",Publication : du 20/02/2024 au 20/04/2024 , Benguerir (Maroc), 1, Enseignement / Formation, Informatique / Electronique, De 3 à 5 ans, Bac +5 et plus, CDD - Télétravail ,non spécifié,"Entreprise :
Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.",Besoin d'autonomie Besoin de réflexion Ambition Implication au travail Recherche de nouveauté
9,UM6P,Research Engineer for Sustainable Materials Processing ,"Lot 660, Hay Moulay Rachid, Ben Guerir 43150","Poste :
The Sustainable Materials Research Center (SusMat - RC) is a multidisciplinary research center engaged in the development of advanced biobased products and materials thereof using biotechnological, physical and chemical conversion strategies and engineering processes (b) understanding and controlling their underlying specific functionalities and the structure-properties relationship acting over multiple length scales from the molecular, nano to the macro level and their cross-interactions and (c) utilizing the gathered knowledge and the invented materials to address key technological challenges in Morocco and African continent and assist the transition toward a green and circular economy.
Job description:
The Sustainable Materials Research Center SUSMAT-RC is looking for a full-time Research Engineer for the processing of sustainable materials and to support the ongoing research and development on sustainable materials. The successful candidate will plan, develop and conduct applied research projects dedicated to green chemistry and chemical engineering focusing on the synthesis, processing, and testing of new (bio)polymer materials. As a rapidly growing research center, an ideal candidate for this role will be self-motivated, organized, and able to work in ambiguous and changeable situations. A minimum experience of 5 years in a similar position is required for this position.
Application and Selection:
The application folder must contain:
Cover letter.
Detailed CV.
Contact information of 3 referees.",Publication : du 20/02/2024 au 20/04/2024 , Benguerir (Maroc), 1, Enseignement / Formation, Production / Qualité / Sécurité / Maintenance, De 5 à 10 ans, Bac +5 et plus, CDI - Télétravail ,non spécifié,"Entreprise :
Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.",Besoin d'objectivité Ténacité Organisation Rationalisme Respect des règles
